candidate_id,query_id,title,doi,decision,reason,lane,payload
MA-C11,MA-Q02,STAT5-signaling cytokines regulate the expression of FOXP3 in CD4+CD25+ regulatory T cells and CD4+CD25− effector T cells,unavailable,await_full_text,Potential primary-human FOXP3-without-suppression contrast; abstract only.,activation,"{""candidate_id"":""MA-C11"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Potential primary-human FOXP3-without-suppression contrast; abstract only."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""STAT5-signaling cytokines regulate the expression of FOXP3 in CD4+CD25+ regulatory T cells and CD4+CD25− effector T cells"",""unique_paper_id"":""https://pubmed.ncbi.nlm.nih.gov/18270368/"",""url"":""https://pubmed.ncbi.nlm.nih.gov/18270368/""}"
MA-C12,MA-Q02,Nonredundant roles for Stat5a/b in directly regulating Foxp3,unavailable,exclude,Surfaced experiments are murine thymocytes/splenocytes; outside human mechanism extraction.,activation,"{""candidate_id"":""MA-C12"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Surfaced experiments are murine thymocytes/splenocytes; outside human mechanism extraction."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Nonredundant roles for Stat5a/b in directly regulating Foxp3"",""unique_paper_id"":""https://pubmed.ncbi.nlm.nih.gov/17227828/"",""url"":""https://pubmed.ncbi.nlm.nih.gov/17227828/""}"
MA-C13,MA-Q02,"The Jak Inhibitor CP-690,550 Preserves the Function of CD4+CD25brightFoxP3+ Regulatory T Cells and Inhibits Effector T Cells",10.1111/j.1600-6143.2010.03200.x,await_full_text,Potential contrary kinase-inhibitor/function relation; no full Methods/Results inspected.,activation,"{""candidate_id"":""MA-C13"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1111/j.1600-6143.2010.03200.x"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Potential contrary kinase-inhibitor/function relation; no full Methods/Results inspected."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""The Jak Inhibitor CP-690,550 Preserves the Function of CD4+CD25brightFoxP3+ Regulatory T Cells and Inhibits Effector T Cells"",""unique_paper_id"":""10.1111/j.1600-6143.2010.03200.x"",""url"":""https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-6143.2010.03200.x""}"
MA-C14,MA-Q02,Antigen receptor-mediated depletion of FOXP3 in induced regulatory T-lymphocytes via PTPN2 and FOXO1,10.1038/ncomms9576,await_full_text,Strong context-dependent mechanism candidate; model/species and full Methods not resolved during this lane.,activation,"{""candidate_id"":""MA-C14"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1038/ncomms9576"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Strong context-dependent mechanism candidate; model/species and full Methods not resolved during this lane."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Antigen receptor-mediated depletion of FOXP3 in induced regulatory T-lymphocytes via PTPN2 and FOXO1"",""unique_paper_id"":""10.1038/ncomms9576"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4633965/""}"
MA-C15,MA-Q02,Upregulation of Foxp3 Expression in Mouse and Human Treg Is IL-2/STAT5 Dependent,10.1196/annals.1375.031,await_full_text,Mouse/human mixture and brief report; not extracted without full study assessment.,activation,"{""candidate_id"":""MA-C15"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1196/annals.1375.031"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Mouse/human mixture and brief report; not extracted without full study assessment."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Upregulation of Foxp3 Expression in Mouse and Human Treg Is IL-2/STAT5 Dependent"",""unique_paper_id"":""10.1196/annals.1375.031"",""url"":""https://nyaspubs.onlinelibrary.wiley.com/doi/10.1196/annals.1375.031""}"
MA-C16,MA-Q02,Low-dose IL-2 expands CD4+ regulatory T cells with a suppressive function in vitro via the STAT5-dep,10.1080/0886022X.2018.1456462,await_full_text,Potential human CKD STAT5 perturbation/function mechanism; not inspected beyond discovery excerpt.,activation,"{""candidate_id"":""MA-C16"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1080/0886022X.2018.1456462"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Potential human CKD STAT5 perturbation/function mechanism; not inspected beyond discovery excerpt."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Low-dose IL-2 expands CD4+ regulatory T cells with a suppressive function in vitro via the STAT5-dep"",""title_fidelity"":""Truncated discovery title retained; canonical full title unavailable."",""unique_paper_id"":""10.1080/0886022X.2018.1456462"",""url"":""https://www.tandfonline.com/doi/pdf/10.1080/0886022X.2018.1456462""}"
MA-C17,MA-Q02,An essential role for the IL-2 receptor in Treg cell function,unavailable,exclude,Mouse conditional genetics in surfaced experiments; not primary human evidence.,activation,"{""candidate_id"":""MA-C17"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Mouse conditional genetics in surfaced experiments; not primary human evidence."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""An essential role for the IL-2 receptor in Treg cell function"",""unique_paper_id"":""https://www.uab.edu/medicine/rheumatology/images/AS_-_Chinen_et_al_2016.pdf"",""url"":""https://www.uab.edu/medicine/rheumatology/images/AS_-_Chinen_et_al_2016.pdf""}"
MA-C18,MA-Q02,Chromatin conformation dynamics during CD4+ T,unavailable,await_full_text,Preprint/version identity and primary-cell IL2 deletion experiment require full inspection.,activation,"{""candidate_id"":""MA-C18"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q02"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Preprint/version identity and primary-cell IL2 deletion experiment require full inspection."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Chromatin conformation dynamics during CD4+ T"",""title_fidelity"":""Truncated discovery title retained; canonical full title unavailable."",""unique_paper_id"":""https://assets-eu.researchsquare.com/files/rs-2855977/v1_covered_4d3bbc7a-5e96-4618-b489-77da2802521e.pdf"",""url"":""https://assets-eu.researchsquare.com/files/rs-2855977/v1_covered_4d3bbc7a-5e96-4618-b489-77da2802521e.pdf""}"
MA-C19,MA-Q03,Identification of STAT5A and STAT5B Target Genes in Human T Cells,10.1371/journal.pone.0086790,await_full_text,Potential direct-occupancy extension; author/cohort overlap with S02 requires resolution.,activation,"{""candidate_id"":""MA-C19"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1371/journal.pone.0086790"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q03"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Potential direct-occupancy extension; author/cohort overlap with S02 requires resolution."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Identification of STAT5A and STAT5B Target Genes in Human T Cells"",""unique_paper_id"":""10.1371/journal.pone.0086790"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC3907443/""}"
MA-C20,MA-Q03,Systematic discovery and perturbation of regulatory genes in human T cells reveals the architecture of immune networks,unavailable,await_full_text,Broad primary-human gene network resource; exact narrower mediation mechanism not extracted.,activation,"{""candidate_id"":""MA-C20"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q03"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Broad primary-human gene network resource; exact narrower mediation mechanism not extracted."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Systematic discovery and perturbation of regulatory genes in human T cells reveals the architecture of immune networks"",""unique_paper_id"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC10035359/"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC10035359/""}"
MA-C21,MA-Q05,RASA2 ablation in T cells boosts antigen sensitivity and long-term function,10.1038/s41586-022-05126-w,await_full_text,Useful receptor-proximal genetic/function candidate discovered late; retained for next screen without abstract-derived edges.,activation,"{""candidate_id"":""MA-C21"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""10.1038/s41586-022-05126-w"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q05"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Useful receptor-proximal genetic/function candidate discovered late; retained for next screen without abstract-derived edges."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""RASA2 ablation in T cells boosts antigen sensitivity and long-term function"",""unique_paper_id"":""10.1038/s41586-022-05126-w"",""url"":""https://www.nature.com/articles/s41586-022-05126-w""}"
MA-C22,MA-Q07,IL-2 and IL-15 Each Mediate De Novo Induction of FOXP3 Expression in Human Tumor Antigen-specific CD8 T Cells,unavailable,await_full_text,Potential CD8 functional context contrast; no full-text extraction.,activation,"{""candidate_id"":""MA-C22"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""await_full_text"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q07"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Potential CD8 functional context contrast; no full-text extraction."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""IL-2 and IL-15 Each Mediate De Novo Induction of FOXP3 Expression in Human Tumor Antigen-specific CD8 T Cells"",""unique_paper_id"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2174606/"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2174606/""}"
MA-C23,MA-Q08,NEGATIVE FEEDBACK REGULATION OF T CELLS: INTERLEUKIN2 AND FOXP3 RECIPROCITY (89.8),10.4049/jimmunol.182.Supp.89.8,exclude,Conference abstract by same authors/topic as S07; no independent cohort evidence; not counted as replication.,activation,"{""candidate_id"":""MA-C23"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""10.4049/jimmunol.182.Supp.89.8"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q08"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Conference abstract by same authors/topic as S07; no independent cohort evidence; not counted as replication."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""NEGATIVE FEEDBACK REGULATION OF T CELLS: INTERLEUKIN2 AND FOXP3 RECIPROCITY (89.8)"",""unique_paper_id"":""10.4049/jimmunol.182.Supp.89.8"",""url"":""https://academic.oup.com/jimmunol/article-abstract/182/Supplement_1/89.8/8013984""}"
MA-C24,MA-Q06,Author Correction: Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3,10.1038/s41586-025-09356-6,exclude,"Integrity metadata linked to S06; adds competing-interest disclosure, not an independent mechanistic study.",activation,"{""candidate_id"":""MA-C24"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""10.1038/s41586-025-09356-6"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q06"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Integrity metadata linked to S06; adds competing-interest disclosure, not an independent mechanistic study."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""Author Correction: Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3"",""unique_paper_id"":""10.1038/s41586-025-09356-6"",""url"":""https://www.nature.com/articles/s41586-025-09356-6""}"
MA-C25,MA-Q03,STAT5B Deficiency: Impacts on Human Growth and Immunity,unavailable,exclude,"Review; discovery only, not an independent experiment.",activation,"{""candidate_id"":""MA-C25"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q03"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Review; discovery only, not an independent experiment."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""STAT5B Deficiency: Impacts on Human Growth and Immunity"",""unique_paper_id"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4846566/"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4846566/""}"
MA-C26,MA-Q03,STAT5A and STAT5B—Twins with Different Personalities in Hematopoiesis and Leukemia,unavailable,exclude,Review; no primary assertion extracted.,activation,"{""candidate_id"":""MA-C26"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q03"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Review; no primary assertion extracted."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""STAT5A and STAT5B—Twins with Different Personalities in Hematopoiesis and Leukemia"",""unique_paper_id"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC6895831/"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC6895831/""}"
MA-C27,MA-Q08,The molecular mechanisms of regulatory T cell immunosuppression,unavailable,exclude,"Review/interpretive discussion, not primary evidence of a serial human feedback loop.",activation,"{""candidate_id"":""MA-C27"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q08"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Review/interpretive discussion, not primary evidence of a serial human feedback loop."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""The molecular mechanisms of regulatory T cell immunosuppression"",""unique_paper_id"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC3522108/"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC3522108/""}"
MA-C28,MA-Q08,IL-2 signaling strength dictates T cell biology and therapeutic outcomes in autoimmunity and cancer,unavailable,exclude,Review; no assertion extracted.,activation,"{""candidate_id"":""MA-C28"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""exclude"",""doi"":""unavailable"",""lane"":""activation"",""pmid"":""unavailable"",""query_id"":""MA-Q08"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Review; no assertion extracted."",""screened_at"":""2026-09-13"",""source_id"":""unavailable"",""title"":""IL-2 signaling strength dictates T cell biology and therapeutic outcomes in autoimmunity and cancer"",""unique_paper_id"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC11126276/"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC11126276/""}"
MA-C29,MA-Q03,AP-1 activity induced by co-stimulation is required for chromatin opening during T cell activation,10.1084/jem.20182009,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C29"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1084/jem.20182009"",""lane"":""activation"",""pmid"":""31653690"",""query_id"":""MA-Q03"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S01"",""title"":""AP-1 activity induced by co-stimulation is required for chromatin opening during T cell activation"",""unique_paper_id"":""10.1084/jem.20182009"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7037242/""}"
MA-C30,MA-Q03,Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells,10.1016/j.clim.2013.04.014,include,Duplicate appearance of same primary paper; does not add independent evidence.,activation,"{""candidate_id"":""MA-C30"",""citation_chain"":""unavailable"",""correction_retraction_check"":""Selected source: see pack sources; other candidate: not individually cleared."",""decision"":""include"",""doi"":""10.1016/j.clim.2013.04.014"",""lane"":""activation"",""pmid"":""23773921"",""query_id"":""MA-Q03"",""query_id_attribution"":""Batched search occurrence; exact originating subquery/rank unavailable."",""reason"":""Duplicate appearance of same primary paper; does not add independent evidence."",""screened_at"":""2026-09-13"",""source_id"":""MA-S02"",""title"":""Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells"",""unique_paper_id"":""10.1016/j.clim.2013.04.014"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC4169138/""}"
