search_id,lane,query,database_name,searched_at,payload
MGQ02,genetic,primary human CD4 T cells functional mapping regulatory variants protein CRISPR 2025 2024,public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""primary human CD4 T cells functional mapping regulatory variants protein CRISPR 2025 2024"",""result_source_ids"":[""MG04""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ02"",""searched_at"":""2026-09-13""}"
MGQ03,genetic,"""Human epistatic interaction"" correction erratum retraction",public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""\""Human epistatic interaction\"" correction erratum retraction"",""result_source_ids"":[""MG01""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ03"",""searched_at"":""2026-09-13""}"
MGQ04,genetic,"""Context-specific regulation of surface"" correction erratum retraction",public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""\""Context-specific regulation of surface\"" correction erratum retraction"",""result_source_ids"":[""MG03""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ04"",""searched_at"":""2026-09-13""}"
MGQ05,genetic,"""A disease-associated gene desert directs macrophage inflammation through ETS2""",public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""\""A disease-associated gene desert directs macrophage inflammation through ETS2\"""",""result_source_ids"":[""MG05""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ05"",""searched_at"":""2026-09-13""}"
MGQ06,genetic,"""primary T cell crisprQTL"" ""protein""",public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""\""primary T cell crisprQTL\"" \""protein\"""",""result_source_ids"":[""MG04""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ06"",""searched_at"":""2026-09-13""}"
MGQ07,genetic,"""A disease-associated gene desert"" ""Correction""",public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""\""A disease-associated gene desert\"" \""Correction\"""",""result_source_ids"":[""MG05""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ07"",""searched_at"":""2026-09-13""}"
MGQ08,genetic,"""Mapping the functional impact of non-coding regulatory elements"" correction",public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""\""Mapping the functional impact of non-coding regulatory elements\"" correction"",""result_source_ids"":[""MG04""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ08"",""searched_at"":""2026-09-13""}"
MGQ09,genetic,"""Interleukin 7 receptor alpha chain"" ""ng2103"" correction",public web ranked search,2026-09-13,"{""database"":""public web ranked search"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""\""Interleukin 7 receptor alpha chain\"" \""ng2103\"" correction"",""result_source_ids"":[""MG02""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Source links matched by title/DOI; correction searches did not establish absence of all correction notices. See screening and failed retrieval log."",""search_id"":""MGQ09"",""searched_at"":""2026-09-13""}"
MGQ10,genetic,"efetch db=pubmed id=28340352,17660817,31594933 retmode=xml",NCBI Entrez skill,2026-09-13,"{""database"":""NCBI Entrez skill"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""efetch db=pubmed id=28340352,17660817,31594933 retmode=xml"",""result_source_ids"":[],""screening_notes"":""Failed before request: requests dependency missing. Fallback public PubMed pages: G03 readable; G08/G10 returned zero lines. Structured CommentsCorrections relation not obtained."",""search_id"":""MGQ10"",""searched_at"":""2026-09-13""}"
MGQ11,genetic,https://pmc.ncbi.nlm.nih.gov/articles/PMC5456452/ ; https://www.direct-ms.org/wp-content/uploads/2018/01/IL-7-gene-Nature-Genetics-07.pdf ; research/genomic/snapshots/G03_fulltext.txt ; research/genomic/snapshots/G10_fulltext.txt,local provenance chain + public primary source pages,2026-09-13,"{""database"":""local provenance chain + public primary source pages"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC5456452/ ; https://www.direct-ms.org/wp-content/uploads/2018/01/IL-7-gene-Nature-Genetics-07.pdf ; research/genomic/snapshots/G03_fulltext.txt ; research/genomic/snapshots/G10_fulltext.txt"",""query_type"":""exact directly opened URLs and local source paths; not a keyword query"",""result_source_ids"":[""MG01"",""MG02"",""MG03""],""screening_notes"":""This is a documented directed retrieval, not a database text search. New narrower assertions re-extract existing studies; not independent evidence."",""search_id"":""MGQ11"",""searched_at"":""2026-09-13""}"
MGQ12,genetic,https://pmc.ncbi.nlm.nih.gov/articles/PMC11168933/,PMC primary article,2026-09-13,"{""database"":""PMC primary article"",""lane"":""genetic"",""pack_path"":""research/mechanisms_genetic/pack.json"",""query"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC11168933/"",""query_type"":""direct primary full-text retrieval by parent approved curl; local source /tmp/ikhis-ets2-primary.html"",""result_source_ids"":[""MG05""],""screening_notes"":""Full HTML access succeeded after earlier web-tool failures. Source identity, relevant Results and Methods inspected; not a new ranked keyword search."",""search_id"":""MGQ12"",""searched_at"":""2026-09-13""}"
MP_Q001,antigen,Restifo 1996 loss functional beta2 microglobulin metastatic melanoma immunotherapy gene transfer T cells,web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH01"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""Restifo 1996 loss functional beta2 microglobulin metastatic melanoma immunotherapy gene transfer T cells"",""result_source_ids"":[""MP_S001""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q001"",""searched_at"":""2026-09-13"",""snapshot_path"":""unavailable""}"
MP_Q002,antigen,TAP2 deficient patient lymphoblastoid antigen presentation cytotoxic T lymphocyte gene transfection rescue,web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH01"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""TAP2 deficient patient lymphoblastoid antigen presentation cytotoxic T lymphocyte gene transfection rescue"",""result_source_ids"":[""MP_S003""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q002"",""searched_at"":""2026-09-13"",""snapshot_path"":""unavailable""}"
MP_Q003,antigen,ERAP1 polymorphism human antigen specific T cells rescue immunopeptidome primary study,web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH01"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""ERAP1 polymorphism human antigen specific T cells rescue immunopeptidome primary study"",""result_source_ids"":[],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q003"",""searched_at"":""2026-09-13"",""snapshot_path"":""unavailable""}"
MP_Q004,antigen,CIITA human monocyte dendritic cell knockdown antigen specific T cell HLA DR primary,web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH02"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""CIITA human monocyte dendritic cell knockdown antigen specific T cell HLA DR primary"",""result_source_ids"":[""MP_S004""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q004"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch2.json""}"
MP_Q005,antigen,ERAP1 psoriasis melanocyte ADAMTSL5 autoantigen T cell recognition ERAP1 2020,web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH02"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""ERAP1 psoriasis melanocyte ADAMTSL5 autoantigen T cell recognition ERAP1 2020"",""result_source_ids"":[""MP_S005""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q005"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch2.json""}"
MP_Q006,antigen,TAP deficient EBV BMRF1 B0702 asymptomatic deficiency antigen processing full text,web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH02"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""TAP deficient EBV BMRF1 B0702 asymptomatic deficiency antigen processing full text"",""result_source_ids"":[""MP_S003""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q006"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch2.json""}"
MP_Q007,antigen,B2M loss rescue autologous T cells melanoma Sade Feldman 2017 resistance,web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH02"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""B2M loss rescue autologous T cells melanoma Sade Feldman 2017 resistance"",""result_source_ids"":[],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q007"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch2.json""}"
MP_Q008,antigen,"""B2M"" ""T-cell"" ""Restifo"" ""correction""",web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH03"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""B2M\"" \""T-cell\"" \""Restifo\"" \""correction\"""",""result_source_ids"":[""MP_S006""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q008"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch3.json""}"
MP_Q009,antigen,"""Loss of Functional"" ""Beta2-Microglobulin"" ""retraction""",web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH03"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""Loss of Functional\"" \""Beta2-Microglobulin\"" \""retraction\"""",""result_source_ids"":[],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q009"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch3.json""}"
MP_Q010,antigen,"""Asymptomatic deficiency"" ""TAP"" ""Villard""",web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH03"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""Asymptomatic deficiency\"" \""TAP\"" \""Villard\"""",""result_source_ids"":[""MP_S002""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q010"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch3.json""}"
MP_Q011,antigen,"""B Cells Can Trigger"" ""Melanocytes"" psoriasis 2025",web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH03"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""B Cells Can Trigger\"" \""Melanocytes\"" psoriasis 2025"",""result_source_ids"":[""MP_S007""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q011"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch3.json""}"
MP_Q012,antigen,"""Maturation of Dendritic Cells"" ""Rapid Transcriptional"" CIITA JEM",web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH04"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""Maturation of Dendritic Cells\"" \""Rapid Transcriptional\"" CIITA JEM"",""result_source_ids"":[""MP_S004""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q012"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch4.json""}"
MP_Q013,antigen,"""Asymptomatic deficiency in the peptide transporter"" de la Salle 2002 full",web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH04"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""Asymptomatic deficiency in the peptide transporter\"" de la Salle 2002 full"",""result_source_ids"":[""MP_S003""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q013"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch4.json""}"
MP_Q014,antigen,"""Loss of Functional Beta2-Microglobulin"" Restifo 1996 pdf",web ranked search,2026-09-13,"{""batch_id"":""MP_BATCH04"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""Loss of Functional Beta2-Microglobulin\"" Restifo 1996 pdf"",""result_source_ids"":[""MP_S001""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q014"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_search_batch4.json""}"
MP_Q015,antigen,"""10.1093/jnci/88.2.100"" (correction OR erratum OR retraction)",web ranked search,2026-09-13,"{""batch_id"":""MP_CORR01"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""10.1093/jnci/88.2.100\"" (correction OR erratum OR retraction)"",""result_source_ids"":[""MP_S001""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q015"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_correction_search1.json""}"
MP_Q016,antigen,"""10.1172/JCI5687"" (correction OR erratum OR retraction)",web ranked search,2026-09-13,"{""batch_id"":""MP_CORR01"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""10.1172/JCI5687\"" (correction OR erratum OR retraction)"",""result_source_ids"":[""MP_S002""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q016"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_correction_search1.json""}"
MP_Q017,antigen,"""10.1046/j.1365-2249.2002.01862.x"" (correction OR erratum OR retraction)",web ranked search,2026-09-13,"{""batch_id"":""MP_CORR01"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""10.1046/j.1365-2249.2002.01862.x\"" (correction OR erratum OR retraction)"",""result_source_ids"":[""MP_S003""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q017"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_correction_search1.json""}"
MP_Q018,antigen,"""10.1084/jem.194.4.379"" (correction OR erratum OR retraction)",web ranked search,2026-09-13,"{""batch_id"":""MP_CORR01"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""10.1084/jem.194.4.379\"" (correction OR erratum OR retraction)"",""result_source_ids"":[""MP_S004""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q018"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_correction_search1.json""}"
MP_Q019,antigen,"""10.4049/jimmunol.2100686"" (correction OR erratum OR retraction)",web ranked search,2026-09-13,"{""batch_id"":""MP_CORR02"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""10.4049/jimmunol.2100686\"" (correction OR erratum OR retraction)"",""result_source_ids"":[""MP_S005""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q019"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_correction_search2.json""}"
MP_Q020,antigen,"""10.1038/s41467-024-55420-6"" (correction OR erratum OR retraction)",web ranked search,2026-09-13,"{""batch_id"":""MP_CORR02"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""10.1038/s41467-024-55420-6\"" (correction OR erratum OR retraction)"",""result_source_ids"":[""MP_S006""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q020"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_correction_search2.json""}"
MP_Q021,antigen,"""10.3390/cells14242002"" (correction OR erratum OR retraction)",web ranked search,2026-09-13,"{""batch_id"":""MP_CORR02"",""database"":""web ranked search"",""lane"":""antigen"",""pack_path"":""research/mechanisms_antigen/pack.json"",""query"":""\""10.3390/cells14242002\"" (correction OR erratum OR retraction)"",""result_source_ids"":[""MP_S007""],""screening_notes"":""Bounded ranked retrieval, not exhaustive. Multiquery tool response combines results; listed source IDs are batch-level relevant candidates and do not imply known per-query rank or coverage."",""search_id"":""MP_Q021"",""searched_at"":""2026-09-13"",""snapshot_path"":""research/mechanisms_antigen/snapshots/MP_correction_search2.json""}"
