category,description,gap_id,next_action,record_id,status
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Activated platelets mediate inflammatory signaling by regulated interleukin 1β synthesis,GAP_b8f3b4d4d33a965a4d,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:P_S08,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Cross-Talk between ICAM-1 and Granulocyte-Macrophage Colony-Stimulating Factor Receptor Signaling Modulates Eosinophil Survival and Activation,GAP_882598d7c6c0c5843c,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCI-S01,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: An Interleukin 5 Mutant Distinguishes between Two Functional Responses in Human Eosinophils,GAP_346d8527af7fb73478,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCI-S02,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: CD25 and protein phosphatase 2A cooperate to enhance IL-2R signaling in human regulatory T cells,GAP_5ffe32c0da112c8ebc,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCI-S03,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Time-Dependent Regulation of IL-2R α-Chain (CD25) Expression by TCR Signal Strength and IL-2-Induced STAT5 Signaling in Activated Human Blood T Lymphocytes,GAP_c1b65c7015e13101e1,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCI-S04,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: IL-1R1 signaling facilitates Munro’s microabscess formation in psoriasiform imiquimod-induced skin inflammation,GAP_268293b44ad05f0dc6,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCI-S06,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Dermal fibroblasts are the key sensors of aseptic skin inflammation through interleukin 1 release by lesioned keratinocytes,GAP_be09408e72eaaffc60,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCI-S07,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Human mid-gestation amniotic fluid contains interleukin-16 bioactivity,GAP_c647c7bad7c7c2334f,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCI-S08,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Chemokine receptor usage by human eosinophils. The importance of CCR3 demonstrated using an antagonistic monoclonal antibody.,GAP_6b8fd1da6e5928a281,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S001,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: CCL26/eotaxin-3 is more effective to induce the migration of eosinophils of asthmatics than CCL11/eotaxin-1 and CCL24/eotaxin-2,GAP_9522eec23761f1992d,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S002,open
atlas_original_data_route,"No explicit cohort-data accession recorded for this primary study/preprint: Human macrophage-derived chemokine (MDC), a novel chemoattractant for monocytes, monocyte-derived dendritic cells, and natural killer cells",GAP_436da91cf211a77902,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S003,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Macrophage-Derived Chemokine (MDC/CCL22) and CCR4 Are Involved in the Formation of T Lymphocyte-Dendritic Cell Clusters in Human Inflamed Skin and Secondary Lymphoid Tissue,GAP_b546bbcb930135c57d,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S004,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Preferential migration of activated CD4+ and CD8+ T cells in response to MIP-1 alpha and MIP-1 beta.,GAP_acdebbb9f11b486eb3,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S005,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Chemotaxis of T lymphocytes on extracellular matrix proteins: Analysis of the in vitro method to quantitate chemotaxis of human T cells,GAP_54dcf439791d71741f,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S006,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Distinct conformations of the chemokine receptor CCR4 with implications for its targeting in allergy,GAP_f9eead4c8c9f7ce378,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S007,open
atlas_original_data_route,"No explicit cohort-data accession recorded for this primary study/preprint: Chemokine receptor specific for IP10 and mig: structure, function, and expression in activated T-lymphocytes.",GAP_fcb19d3ed57b0e5f20,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S008,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: CXCR3 and Its Ligand CXCL10 Are Expressed by Inflammatory Cells Infiltrating Lung Allografts and Mediate Chemotaxis of T Cells at Sites of Rejection,GAP_788041fa3c859907e9,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S009,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: A Novel Highly Potent Therapeutic Antibody Neutralizes Multiple Human Chemokines and Mimics Viral Immune Modulation,GAP_1373dac1d4440c1028,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XCH_S010,open
atlas_original_data_route,"No explicit cohort-data accession recorded for this primary study/preprint: Tuning sensitivity to IL-4 and IL-13: differential expression of IL-4Rα, IL-13Rα1, and γc regulates relative cytokine sensitivity",GAP_f0cdc60b826fc4c0dc,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XRE-S01,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Shear Stress Modulation of IL-1β-Induced E-Selectin Expression in Human Endothelial Cells,GAP_385e6f8cb075bdcda2,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XRE-S02,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: In Vivo Depletion of Lymphotoxin-Alpha Expressing Lymphocytes Inhibits Xenogeneic Graft-versus-Host-Disease,GAP_849ec76c60cbb6695c,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XRE-S03,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Migration of Human Monocytes in Response to Vascular Endothelial Growth Factor (VEGF) Is Mediated via the VEGF Receptor flt-1,GAP_6c09d581a2a7b425db,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XRE-S04,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Human Dendritic Cells Mitigate NK-Cell Dysfunction Mediated by Nonselective JAK1/2 Blockade,GAP_8a09bb9783da51fc3d,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XRE-S05,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Retrograde inflammatory signaling from neutrophils to endothelial cells by soluble interleukin-6 receptor alpha.,GAP_d66f09af038cf4afcf,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,preserved_baseline_0.2.0:XRE-S06,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Human Epistatic Interaction Controls IL7R Splicing and Increases Multiple Sclerosis Risk,GAP_a9b8c306ee51b87a1b,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MG01,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis,GAP_9fede235e9e78b0b93,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MG02,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele,GAP_a4c5ef3a00f1c87cac,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MG03,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Differentiating the roles of STAT5B and STAT5A in human CD4+ T cells,GAP_13df7c9d6f46c7f9b9,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MA-S02,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Functional CRISPR dissection of gene networks controlling human regulatory T cell identity,GAP_2795a877443dc55cda,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MA-S03,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Fast and Efficient Genome Editing of Human FOXP3+ Regulatory T Cells,GAP_5f05fad8975646173e,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MA-S04,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: IL-2 regulates FOXP3 expression in human CD4+CD25+ regulatory T cells through a STAT-dependent mechanism and induces the expansion of these cells in vivo,GAP_dcb48eebab6df22627,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MA-S05,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Negative Feedback Regulation of T Cells via Interleukin-2 and FOXP3 Reciprocity,GAP_bb0e211760317f211a,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MA-S07,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Loss of Functional Beta2-Microglobulin in Metastatic Melanomas From Five Patients Receiving Immunotherapy,GAP_dddeff9da9cf5bb6ef,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MP_S001,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: HLA class I deficiencies due to mutations in subunit 1 of the peptide transporter TAP1,GAP_063c233c76fe7bbe84,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MP_S002,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Asymptomatic deficiency in the peptide transporter associated to antigen processing (TAP),GAP_f141c37fc3b6507985,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MP_S003,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Maturation of Dendritic Cells Is Accompanied by Rapid Transcriptional Silencing of Class II Transactivator (Ciita) Expression,GAP_09f9309c99c07b87cb,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MP_S004,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: Enabling next-generation engineered TCR-T therapies based on high-throughput TCR discovery from diagnostic tumor biopsies,GAP_ad86f10bc5d4a9109f,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MP_S006,open
atlas_original_data_route,No explicit cohort-data accession recorded for this primary study/preprint: B Cells Can Trigger the T-Cell-Mediated Autoimmune Response Against Melanocytes in Psoriasis,GAP_73fc3b53478b18a9b2,Inspect source data-availability statement and supplements; validate related accession mentions before linking.,unreviewed_candidate_0.3.0:MP_S007,open
subject_join,Corresponding subject metadata is not inspected or has no usable subject IDs; join cannot yet be assessed.,GAP_d80be17364329110f0,Recover original subject mapping before joining measurements.,HR:GSE190001,open
subject_join,Some antibody subject IDs do not match the inspected metadata table.,GAP_6fe2ce5cd8941c5cdf,Recover original subject mapping before joining measurements.,HR:GSE199750,open
subject_join,Some antibody subject IDs do not match the inspected metadata table.,GAP_7bb44fa085201970a8,Recover original subject mapping before joining measurements.,HR:GSE201642,open
subject_join,Some antibody subject IDs do not match the inspected metadata table.,GAP_e9afc177a44d7fc2f2,Recover original subject mapping before joining measurements.,HR:GSE207750,open
subject_join,Some antibody subject IDs do not match the inspected metadata table.,GAP_d7e80262f4cc9fb86c,Recover original subject mapping before joining measurements.,HR:GSE230494,open
subject_join,Corresponding subject metadata is not inspected or has no usable subject IDs; join cannot yet be assessed.,GAP_c2f8b25f80b4e92acb,Recover original subject mapping before joining measurements.,HR:GSE246937,open
subject_join,Some antibody subject IDs do not match the inspected metadata table.,GAP_4bf87bba6de2074383,Recover original subject mapping before joining measurements.,HR:GSE41080,open
subject_join,Some antibody subject IDs do not match the inspected metadata table.,GAP_d6a089ab34bab6b40f,Recover original subject mapping before joining measurements.,HR:GSE48762,open
subject_join,Some antibody subject IDs do not match the inspected metadata table.,GAP_5339561ed709311021,Recover original subject mapping before joining measurements.,HR:GSE59654,open
subject_join,Some antibody subject IDs do not match the inspected metadata table.,GAP_f5ae1cef6b3491a643,Recover original subject mapping before joining measurements.,HR:SDY112,open
subject_join,Corresponding subject metadata is not inspected or has no usable subject IDs; join cannot yet be assessed.,GAP_8d7ad13b6d81b03f0d,Recover original subject mapping before joining measurements.,HR:SDY312,open
subject_join,Corresponding subject metadata is not inspected or has no usable subject IDs; join cannot yet be assessed.,GAP_ae23ffc9b089b95308,Recover original subject mapping before joining measurements.,HR:SDY314,open
subject_join,Corresponding subject metadata is not inspected or has no usable subject IDs; join cannot yet be assessed.,GAP_a2bc5ec9f30b62cd1c,Recover original subject mapping before joining measurements.,HR:challenge_covid19,open
archive_schema,Remote raw archives and many supplementary workbooks are listed but their members/fields are not yet inspected.,archive_schema,"Expand members, inspect headers and register assay units and detection limits.",catalog,open
cohort_deduplication,No complete participant-level crosswalk across reused challenge cohorts.,cohort_deduplication,"Map trial, arm, participant, episode, specimen and visit identifiers before pooling.",catalog,open
search_completeness,Repository discovery and title screening do not establish an exhaustive census of all influenza challenge data.,search_completeness,"Continue full-record screening, trial/publication citation chaining and non-GEO repository discovery.",catalog,open
matrix_layers,Current HR expression scales and H5AD layers are not independently inspected.,matrix_layers,Inspect each matrix/layer and its exact processing provenance before assigning numeric units.,catalog,open
