accession_or_record_id,dataset_id,eligibility,full_record_table,independent_cohort_count,modality,participant_count,processed_access_status,raw_access_evidence,raw_access_status,repository,repository_sample_count,review_status,scope,specimen,subset_rule,title,url
E-MTAB-13041,FLU:E-MTAB-13041,included_human_influenza_challenge,influenza_studies,,"[""bulk RNA-seq""]",,public,Blood raw RNA-seq is controlled in EGAD50000000956; nasal raw-read repository not established from the inspected sources.,controlled,ArrayExpress / BioStudies,,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Whole blood RNA-Sequencing from an Influenza H3N2 human challenge model,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13041
EGAD50000000956,FLU:EGAD50000000956,included_human_influenza_challenge,influenza_studies,,"[""bulk RNA-seq""]",19,unverified,Managed-access sequencing files are listed publicly; access requires approved data use within participant consent and a data access agreement.,controlled,European Genome-phenome Archive,,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Longitudinal whole-blood RNA-seq following controlled influenza H3N2 inoculation,https://ega-archive.org/datasets/EGAD50000000956
FR-FCM-Z2NZ,FLU:FR-FCM-Z2NZ,included_human_influenza_challenge,influenza_studies,,"[""mass cytometry"",""CBC"",""viral qRT-PCR"",""HA/stalk antibody ELISA"",""symptom scores""]",35,unverified,Primary paper states study data and code are public in FR-FCM-Z2NZ. Direct repository TLS certificate expired during retrieval; raw FCS member inventory remains unverified.,public,FlowRepository,381,catalogue_curation_pending_review,Influenza challenge search,peripheral blood / nasopharyngeal swabs,"Preserve trial, participant, specimen and visit identifiers.",Landscape of coordinated immune responses to H1N1 challenge in humans,https://flowrepository.org/id/FR-FCM-Z2NZ
MCILWAIN2021_CHALLENGE,FLU:MCILWAIN2021_CHALLENGE,included_human_influenza_challenge,influenza_studies,,"[""mass cytometry"",""HAI"",""microneutralization"",""ELISPOT"",""viral qRT-PCR"",""Flu-PRO symptoms""]",141,public,"Primary paper states raw data, processed data and source code available from lead contact upon reasonable request; no request sent.",request_only,primary publication / linked repository,,catalogue_curation_pending_review,Influenza challenge search,whole blood; serum; nasopharyngeal swabs,"Preserve trial, participant, specimen and visit identifiers.",Human influenza virus challenge identifies cellular correlates of protection for oral vaccination,https://doi.org/10.1016/j.chom.2021.10.009
BURKE2017_NPL,FLU:BURKE2017_NPL,included_human_influenza_challenge,influenza_studies,,"[""2D-LC-MS/MS discovery proteomics"",""targeted MRM proteomics""]",,public,"Primary Methods document mass-spectrometry measurements, but no raw instrument-file repository accession found in inspected full article.",unverified,primary publication / linked repository,,catalogue_curation_pending_review,Influenza challenge search,nasopharyngeal lavage,Include two H3N2 cohorts only; keep HRV cohorts separate; pooled proteomic discovery is not individual sample abundance.,Nasopharyngeal Protein Biomarkers of Acute Respiratory Virus Infection,https://doi.org/10.1016/j.ebiom.2017.02.015
FLU_DAY_PREDICTION2026,FLU:FLU_DAY_PREDICTION2026,included_human_influenza_challenge,influenza_studies,,"[""mass cytometry derived cell populations"",""viral shedding"",""challenge day""]",,public,Reanalysis: do not treat model tables called raw/un-normalized as original FCS instrument data. Follow original source cohorts.,unverified,Primary publication / GitHub,,catalogue_curation_pending_review,Influenza challenge search,whole blood,"Preserve trial, participant, specimen and visit identifiers.",Estimating time since influenza virus exposure using single-cell proteomic data,https://doi.org/10.3389/fimmu.2026.1787198
IMPERIAL_H3N2_MULTIMODAL2026,FLU:IMPERIAL_H3N2_MULTIMODAL2026,included_human_influenza_challenge,influenza_studies,,"[""flow cytometry"",""functional immune assays"",""antibody assays"",""viral qRT-PCR"",""symptom diaries"",""bulk RNA-seq""]",,public,"Deidentified participant data for individual-participant meta-analysis available only from 12 months through 5 years after publication upon written request and data agreement. Published 2026-07-01, so this request window has not opened as of 2026-09-14. Raw blood RNA is already managed under EGAD50000000956.",request_window_not_yet_open,primary publication / linked repository,,catalogue_curation_pending_review,Influenza challenge search,blood; nasal samples; respiratory immune samples,"Preserve trial, participant, specimen and visit identifiers.",Innate immune responsiveness predicts enhanced cellular immunity and symptomatic disease after controlled human influenza infection,https://doi.org/10.1038/s41591-026-04483-7
GSE253685,FLU:GSE253685,included_human_influenza_challenge,influenza_studies,,"[""expression microarray""]",,public,GEO lists original raw archive; member files not downloaded.,public,NCBI GEO,339,catalogue_curation_pending_review,Influenza challenge search,PBMC,"Preserve trial, participant, specimen and visit identifiers.",PBMC gene expression profiles from vaccinated or non-vaccinated humans challenged with influenza viruses,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253685
GSE253686,FLU:GSE253686,included_human_influenza_challenge,influenza_studies,,"[""expression microarray""]",,public,GEO lists original raw archive; member files not downloaded.,public,NCBI GEO,297,catalogue_curation_pending_review,Influenza challenge search,nasal epithelium,"Preserve trial, participant, specimen and visit identifiers.",Nasal epithelium gene expression profiles from vaccinated or non-vaccinated humans challenged with influenza viruses,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253686
KAW2025STM,FLU:KAW2025STM,included_human_influenza_challenge,influenza_studies,,"[""BCR sequencing"",""TCR sequencing""]",,public,Primary paper declares VDJ immunosequencing data at immuneACCESS; landing page retrieved but downloadable read-level versus repertoire-level files not enumerated.,unverified,Adaptive immuneACCESS,,catalogue_curation_pending_review,Influenza challenge search,blood immune repertoire,"Preserve trial, participant, specimen and visit identifiers.",Adaptive B and T cell VDJ immunosequencing from NIH influenza challenge,https://doi.org/10.21417/KAW2025STM
WALTERS2025_IMMUNE,FLU:WALTERS2025_IMMUNE,included_human_influenza_challenge,influenza_studies,,"[""Olink inflammation proteins"",""antibody HAI/neutralization"",""viral shedding"",""symptoms"",""BCR/TCR repertoire""]",,public,"Article declares all associated data in paper/supplements, but instrument-level Olink assay output is not established. NPX protein values are normalized and are not absolute concentration.",unverified,primary publication / linked repository,,catalogue_curation_pending_review,Influenza challenge search,"nasal mucosa, blood and serum","Preserve trial, participant, specimen and visit identifiers.",Nasal and systemic immune responses correlate with viral shedding after influenza challenge in people with complex preexisting immunity,https://pmc.ncbi.nlm.nih.gov/articles/PMC12375958/
SRP091397,FLU:SRP091397,included_human_influenza_challenge,influenza_studies,,"[""viral RNA sequencing""]",,unverified,Public SRA run records verified; raw read files not downloaded. Expanded current repository may contain more sequencing experiments than the original paper subset.,public,NCBI SRA,,catalogue_curation_pending_review,Influenza challenge search,nasal wash and challenge-virus stock,"Primary paper specifies SRR4416113–SRR4416125 (13 runs), while current study includes additional deposited runs; retain original-paper subset separately.",Deep sequencing of influenza A from a human challenge study,https://www.ncbi.nlm.nih.gov/sra?term=SRP091397
PRJNA528931,FLU:PRJNA528931,included_human_influenza_challenge,influenza_studies,,"[""viral RNA sequencing""]",20,unverified,Public SRA run records verified; raw read files not downloaded. Expanded current repository may contain more sequencing experiments than the original paper subset.,public,NCBI SRA,,catalogue_curation_pending_review,Influenza challenge search,nasal wash and challenge-virus stock,Retain only challenge participant and explicitly designated inoculum/control samples; do not pool natural infection cases.,Deep sequencing of 2009 influenza H1N1 from challenge participants and natural infections,https://www.ncbi.nlm.nih.gov/sra?term=PRJNA528931
E-MTAB-15137,FLU:E-MTAB-15137,included_human_influenza_challenge,influenza_studies,,"[""bulk RNA-seq"",""mycobacterial growth inhibition"",""cytokines"",""cellular assays""]",,public,Raw RNA managed via EGA study EGAS50000001677 / dataset EGAD50000002407.,controlled,ArrayExpress / BioStudies,,catalogue_curation_pending_review,Influenza challenge search,whole blood aliquots with/without ex vivo BCG lux,"Influenza challenge occurs in humans; BCG exposure is ex vivo in blood aliquots, not a human mycobacterial infection challenge.","Whole blood RNA-sequencing from volunteers in a human influenza challenge study, in which blood aliquots were infected and incubated with BCG before and after influenza infection",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-15137
EGAD50000002407,FLU:EGAD50000002407,included_human_influenza_challenge,influenza_studies,,"[""bulk RNA-seq""]",,unverified,Parent EGA study page lists dataset EGAD50000002407; primary paper specifies managed access subject to participant consent and data agreement.,controlled,European Genome-phenome Archive,,catalogue_curation_pending_review,Influenza challenge search,whole blood aliquots with/without ex vivo BCG lux,"Preserve trial, participant, specimen and visit identifiers.",Raw RNA sequencing for human influenza challenge / ex vivo BCG response,https://ega-archive.org/datasets/EGAD50000002407
MCCLAIN2016_CYTOKINES,FLU:MCCLAIN2016_CYTOKINES,included_human_influenza_challenge,influenza_studies,,"[""25-plex cytokine assay"",""viral shedding"",""symptom scores""]",17,public,Original assay acquisition files and complete subject-by-time cytokine matrix repository not identified in inspected article.,unverified,primary publication / linked repository,,catalogue_curation_pending_review,Influenza challenge search,serum / peripheral blood,"Preserve trial, participant, specimen and visit identifiers.",Differential evolution of peripheral cytokine levels in symptomatic and asymptomatic responses to experimental influenza virus challenge,https://pmc.ncbi.nlm.nih.gov/articles/PMC4750592/
E-MTAB-13324,ATLAS_DATA:E-MTAB-13324,atlas_scope,atlas_datasets,,,,,E-MTAB-13324; E-MTAB-13324; E-MTAB-13324; E-MTAB-13324,access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13324
EGAD00001008197,ATLAS_DATA:EGAD00001008197,atlas_scope,atlas_datasets,,,,,"[""EGAD00001008197"",""EGAD00010002291""]",access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://ega-archive.org/datasets/EGAD00001008197
EGAD00001011338,ATLAS_DATA:EGAD00001011338,atlas_scope,atlas_datasets,,,,,unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338; unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338; unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338; unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338,access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://ega-archive.org/datasets/EGAD00001011338
EGAD00010002291,ATLAS_DATA:EGAD00010002291,atlas_scope,atlas_datasets,,,,,"[""EGAD00001008197"",""EGAD00010002291""]",access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://ega-archive.org/datasets/EGAD00010002291
EGAS00000000109,ATLAS_DATA:EGAS00000000109,atlas_scope,atlas_datasets,,,,,EGAS00000000109 (genotypes); expression ArrayExpress accession unavailable in inspected main text,access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://ega-archive.org/studies/EGAS00000000109
EGAS00001001456,ATLAS_DATA:EGAS00001001456,atlas_scope,atlas_datasets,,,,,EGAS00001001456,access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://ega-archive.org/studies/EGAS00001001456
GSE100501,ATLAS_DATA:GSE100501,atlas_scope,atlas_datasets,,,,,GSE100501; GSE100501,public_record_with_advertised_files,Original repository,,,Atlas data routes,,,The dynamics of cellular response to therapeutic perturbation using multiplexed quantification of the proteome and transcriptome at single-cell resolution,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100501
GSE100866,ATLAS_DATA:GSE100866,atlas_scope,atlas_datasets,,,,,GSE100866,public_record_with_advertised_files,Original repository,,,Atlas data routes,,,CITE-seq: Large scale simultaneous measuremnt of epitopes and transcriptomes in single cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100866
GSE116698,ATLAS_DATA:GSE116698,atlas_scope,atlas_datasets,,,,,GSE116698,public_record_with_advertised_files,Original repository,,,Atlas data routes,,,Co-Stimulation–Induced AP-1 Activity is Required for Chromatin Opening During T Cell Activation.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116698
GSE202186,ATLAS_DATA:GSE202186,atlas_scope,atlas_datasets,,,,,GSE202186,public_record_with_advertised_files,Original repository,,,Atlas data routes,,,Single-cell RNA-seq dictionary of in vivo immune responses to cytokines,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202186
GSE57542,ATLAS_DATA:GSE57542,atlas_scope,atlas_datasets,,,,,GSE57542,public_record_with_advertised_files,Original repository,,,Atlas data routes,,,"Expression data measured by Nanostring and microarray of monocyte-derived dendritic cells from healthy individuals stimulated with LPS, influenza, or IFN-beta, or left unstimulated",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57542
GSE74668,ATLAS_DATA:GSE74668,atlas_scope,atlas_datasets,,,,,GSE74668 (transcript arm only),public_record_with_advertised_files,Original repository,,,Atlas data routes,,,Gene Expression Profiling of IL-17A-treated Synovial Fibroblasts from the Human Temporomandibular Joint,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74668
PRJDB16517,ATLAS_DATA:PRJDB16517,atlas_scope,atlas_datasets,,,,,PRJDB16517,access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJDB16517
SAMN03471796,ATLAS_DATA:SAMN03471796,atlas_scope,atlas_datasets,,,,,SAMN03471796 (article links WM278/WM793 cell-line context),access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://www.ncbi.nlm.nih.gov/biosample/SAMN03471796
phs001703.v1.p1,ATLAS_DATA:phs001703.v1.p1,atlas_scope,atlas_datasets,,,,,phs001703.v1.p1,access_route_recorded; availability_not_independently_verified,Original repository,,,Atlas data routes,,,Title not independently retrieved,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001703.v1.p1
GSE68310,HR:GSE68310,adjacent_excluded,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE68310,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310
GSE194378,HR:GSE194378,adjacent_excluded,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE194378,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194378
GSE74811,HR:GSE74811,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE74811,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74811
GSE74813,HR:GSE74813,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE74813,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74813
GSE74815,HR:GSE74815,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE74815,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74815
GSE74816,HR:GSE74816,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE74816,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74816
GSE48023,HR:GSE48023,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE48023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48023
GSE48018,HR:GSE48018,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE48018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48018
GSE41080,HR:GSE41080,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE41080,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41080
GSE59743,HR:GSE59743,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE59743,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59743
GSE59654,HR:GSE59654,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE59654,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59654
GSE101709,HR:GSE101709,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE101709,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101709
GSE59635,HR:GSE59635,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE59635,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59635
GSE101710,HR:GSE101710,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE101710,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101710
GSE47353,HR:GSE47353,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,PBMC,,GSE47353,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47353
GSE190001_PRIME,HR:GSE190001_PRIME,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE190001_PRIME,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001
GSE190001_BOOST,HR:GSE190001_BOOST,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE190001_BOOST,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001
SDY311,HR:SDY311,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,SDY311,https://www.immport.org/shared/study/SDY311
SDY112,HR:SDY112,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,SDY112,https://www.immport.org/shared/study/SDY112
SDY315,HR:SDY315,vaccine_or_other_nonchallenge_context,hr_studies,,microarray,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,SDY315,https://www.immport.org/shared/study/SDY315
GSE207750,HR:GSE207750,vaccine_or_other_nonchallenge_context,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE207750,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207750
GSE246525,HR:GSE246525,outside_influenza_challenge_scope,hr_studies,,RNA-seq,,,V3 distributes harmonized matrices; follow the cited original source for raw file availability.,original_repository_route; legacy_raw_flag_not_verified,HR-VILAGE / original repository,,,HR-VILAGE studies,whole blood,,GSE246525,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246525
