gap_id,lane,description,status
genomic_3,genomic,"{""description"":""The 2018 IL2RA author correction is confirmed; indexed excerpt indicates altered EDEL Treg percentages after genotype correction/paired analysis. Correction full text is not obtained. Original EDEL steady-state phenotype statement is not imported."",""gap_id"":""G-GAP03""}",open
genomic_4,genomic,"{""description"":""Cohort independence remains unresolved for ImmVar/PhenoGenetic reuse, DICE protein follow-up, BLUEPRINT secondary analyses and MS association cohorts. Explicit G10→G01 subset reuse must be enforced in weighting."",""gap_id"":""G-GAP04""}",open
genomic_5,genomic,"{""description"":""DICE ancestry distribution, individual BLUEPRINT ancestry filtering, and complete dose/time metadata in ImmVar/Lee still need supplementary extraction. Soskic reported sex percentages conflict with counts; retain counts without erroneous percentages."",""gap_id"":""G-GAP05""}",open
genomic_6,genomic,"{""description"":""Lead variants and event coordinates missing for VAMP8, AIMP1, TNF and TNFRSF1A event descriptions. These are target/event-level evidence records, not fully identified variant-specific prior inputs."",""gap_id"":""G-GAP06""}",open
genomic_7,genomic,"{""description"":""HLA/KIR, structural variation, somatic variants, ancestry-diverse immune QTL atlases, pQTL colocalization, cytokine-QTL dose-response and tissue-resident immune regulation are not systematically covered."",""gap_id"":""G-GAP07""}",open
genomic_8,genomic,"{""description"":""Recent indexed candidates require next-round screening: Genome-scale mapping of variant, enhancer and gene function in primary human CD4+ T cells (PMC13060838); Cell-type-specific eQTLs underlie the genetic architecture of complex traits (10.1038/s41586-026-10577-6); single-cell splicing study (10.1038/s41588-024-02019-8). No results are asserted without primary extraction; later OneK1K reuse must not count as independent replication."",""gap_id"":""G-GAP08""}",open
genomic_9,genomic,"{""description"":""Published absolute soluble IL7R concentrations in G10 may require unit verification against source data and assay calibration. They are intentionally not numeric magnitude priors; qualitative direction and reported association P are retained."",""gap_id"":""G-GAP09""}",open
proteomic_1,proteomic,"{""description"":""Bounded pilot corpus, not exhaustive systematic search. Eight selected primary studies do not cover every measured cytokine, tissue, disease, ancestry, HLA/KIR context, secretome or PTM."",""gap_id"":""P_G01""}",open
proteomic_2,proteomic,"{""description"":""Atlas main raw proteome/secretome matrix and unique peptide evidence were not extracted. Atlas assertions are limited to the directly described IL34 profile perturbation. CITE-seq captions require figure/count-matrix review before stronger grading."",""gap_id"":""P_G02""}",open
proteomic_3,proteomic,"{""description"":""Mass-cytometry PTM sites, antibody clones, doses and durations were not retrieved from supplements. Family-level STAT5 and p38 names are deliberately not converted into specific isoforms or sites."",""gap_id"":""P_G03""}",open
proteomic_4,proteomic,"{""description"":""UKB/deCODE reused cohort links identified; participant manifests and exact sample overlap across publications unavailable. All independence statuses remain unresolved; no publication-count replication multiplier is justified."",""gap_id"":""P_G04""}",open
proteomic_5,proteomic,"{""description"":""Affinity assay identifiers, targeted proteoforms, LOD and per-target batch metadata remain incomplete. Plasma findings must not generate source-cell, secretion, receptor-availability or activity edges."",""gap_id"":""P_G05""}",open
proteomic_6,proteomic,"{""description"":""No receptor-dependent functional conclusion from REAP-seq IL7R abundance; no functional proliferation conclusion from MKI67 RNA. ICOS RNA null retains a sensitivity explanation."",""gap_id"":""P_G06""}",open
proteomic_7,proteomic,"{""description"":""Platelet timing conflicts: Fig.4A says 18 h while microvesicle methods state 8 h; immunocytochemistry figure/methods also differ in thrombin concentration (0.1 versus 0.01 U/ml). P_A18 uses the explicit Fig.2B/C synthesis comparison; timing remains visible."",""gap_id"":""P_G07""}",open
proteomic_8,proteomic,"{""description"":""Entrez skill script could not execute because requests dependency was missing in system and bundled Python. Public web and directly saved article pages were used instead. Europe PMC fullTextXML request for PMC3497699 returned 404; article was screened but not extracted."",""gap_id"":""P_G08""}",open
