source_id,title,authors,year,url,doi,pmid,source_type,version,retrieved_at,access_level,snapshot_path,snapshot_sha256,species,notes,ingestion_status,duplicate_of
G02,Discovery of stimulation-responsive immune enhancers with CRISPR activation,"[""Dimitre R Simeonov"",""Benjamin G Gowen"",""Mandy Boontanrart"",""Theodore L Roth"",""John D Gagnon"",""Maxwell R Mumbach"",""Ansuman T Satpathy"",""Youjin Lee"",""Nicolas L Bray"",""Alice Y Chan"",""Dmytro S Lituiev"",""Michelle L Nguyen"",""Rachel E Gate"",""Meena Subramaniam"",""Zhongmei Li"",""Jonathan M Woo"",""Therese Mitros"",""Graham J Ray"",""Gemma L Curie"",""Nicki Naddaf"",""Julia S Chu"",""Hong Ma"",""Eric Boyer"",""Frederic Van Gool"",""Hailiang Huang"",""Ruize Liu"",""Victoria R Tobin"",""Kathrin Schumann"",""Mark J Daly"",""Kyle K Farh"",""K Mark Ansel"",""Chun J Ye"",""William J Greenleaf"",""Mark S Anderson"",""Jeffrey A Bluestone"",""Howard Y Chang"",""Jacob E Corn"",""Alexander Marson""]",2017,https://pmc.ncbi.nlm.nih.gov/articles/PMC5675716/,10.1038/nature23875,28854172,primary_study,2017 primary publication; exact publisher revision unavailable,2026-09-12T16:52:19.899604+00:00,full_text,research/genomic/snapshots/G02_fulltext.html,d9d79f2a8201bf96a7fa80b68ef492f431a922ca879ab2973f9bf6c3a2a639f3,"[""Homo sapiens"",""Mus musculus""]","Primary publication snapshot; supplementary captions embedded in main page reviewed where used. Standalone supplementary files and raw individual-level data not downloaded. Human and mouse experiments have separate cohorts. Author correction DOI 10.1038/s41586-018-0227-7 (2018) is retained as metadata/indexed excerpt in G02correction_retrieval.txt, search_01.json and Gsearch7_retrieval.txt. Correction full text not obtained; no EDEL steady-state Treg percentage assertion is extracted.",extracted,unavailable
G03,Human epistatic interaction controls IL7R splicing and increases Multiple Sclerosis risk,"[""Gaddiel Galarza-Muñoz"",""Farren BS Briggs"",""Irina Evsyukova"",""Geraldine Schott-Lerner"",""Edward M Kennedy"",""Tinashe Nyanhete"",""Liuyang Wang"",""Laura Bergamaschi"",""Steven G Widen"",""Georgia D Tomaras"",""Dennis C Ko"",""Shelton S Bradrick"",""Lisa F Barcellos"",""Simon G Gregory"",""Mariano A Garcia-Blanco""]",2017,https://pmc.ncbi.nlm.nih.gov/articles/PMC5456452/,10.1016/j.cell.2017.03.007,28340352,primary_study,2017 primary publication; exact publisher revision unavailable,2026-09-12T16:21:57.394503+00:00,full_text,research/genomic/snapshots/G03_fulltext.html,6bde78d536f1eb9d88c669269432b0d59c0e02155d5f02f54fbb7690c5ff1df8,Homo sapiens,Primary publication snapshot; supplementary captions embedded in main page reviewed where used. Standalone supplementary files and raw individual-level data not downloaded.,extracted,unavailable
G04,Impact of genetic polymorphisms on human immune cell gene expression,"[""Benjamin J Schmiedel"",""Divya Singh"",""Ariel Madrigal"",""Alan G Valdovino-Gonzalez"",""Brandie M White"",""Jose Zapardiel-Gonzalo"",""Brendan Ha"",""Gokmen Altay"",""Jason A Greenbaum"",""Graham McVicker"",""Grégory Seumois"",""Anjana Rao"",""Mitchell Kronenberg"",""Bjoern Peters"",""Pandurangan Vijayanand""]",2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC6289654/,10.1016/j.cell.2018.10.022,30449622,primary_study,2018 primary publication; exact publisher revision unavailable,2026-09-12T16:52:21.019209+00:00,full_text,research/genomic/snapshots/G04_fulltext.html,b00f8fea385ccd45e5f52e4dec0e77ba2e8904404c4f9c6003fa846a98976c2e,Homo sapiens,Primary publication snapshot; supplementary captions embedded in main page reviewed where used. Standalone supplementary files and raw individual-level data not downloaded.,extracted,unavailable
G05,Genetic Drivers of Epigenetic and Transcriptional Variation in Human Immune Cells,"[""Lu Chen"",""Bing Ge"",""Francesco Paolo Casale"",""Louella Vasquez"",""Tony Kwan"",""Diego Garrido-Martín"",""Stephen Watt"",""Ying Yan"",""Kousik Kundu"",""Simone Ecker"",""Avik Datta"",""David Richardson"",""Frances Burden"",""Daniel Mead"",""Alice L Mann"",""Jose Maria Fernandez"",""Sophia Rowlston"",""Steven P Wilder"",""Samantha Farrow"",""Xiaojian Shao"",""John J Lambourne"",""Adriana Redensek"",""Cornelis A Albers"",""Vyacheslav Amstislavskiy"",""Sofie Ashford"",""Kim Berentsen"",""Lorenzo Bomba"",""Guillaume Bourque"",""David Bujold"",""Stephan Busche"",""Maxime Caron"",""Shu-Huang Chen"",""Warren Cheung"",""Oliver Delaneau"",""Emmanouil T Dermitzakis"",""Heather Elding"",""Irina Colgiu"",""Frederik O Bagger"",""Paul Flicek"",""Ehsan Habibi"",""Valentina Iotchkova"",""Eva Janssen-Megens"",""Bowon Kim"",""Hans Lehrach"",""Ernesto Lowy"",""Amit Mandoli"",""Filomena Matarese"",""Matthew T Maurano"",""John A Morris"",""Vera Pancaldi"",""Farzin Pourfarzad"",""Karola Rehnstrom"",""Augusto Rendon"",""Thomas Risch"",""Nilofar Sharifi"",""Marie-Michelle Simon"",""Marc Sultan"",""Alfonso Valencia"",""Klaudia Walter"",""Shuang-Yin Wang"",""Mattia Frontini"",""Stylianos E Antonarakis"",""Laura Clarke"",""Marie-Laure Yaspo"",""Stephan Beck"",""Roderic Guigo"",""Daniel Rico"",""Joost HA Martens"",""Willem H Ouwehand"",""Taco W Kuijpers"",""Dirk S Paul"",""Hendrik G Stunnenberg"",""Oliver Stegle"",""Kate Downes"",""Tomi Pastinen"",""Nicole Soranzo""]",2016,https://pmc.ncbi.nlm.nih.gov/articles/PMC5119954/,10.1016/j.cell.2016.10.026,27863251,primary_study,2016 primary publication; exact publisher revision unavailable,2026-09-12T16:52:18.195820+00:00,full_text,research/genomic/snapshots/G05_fulltext.html,188969120233572f5e81a117857db69883c9f3dc74b85b9291a627e7b2fcd135,Homo sapiens,Primary publication snapshot; supplementary captions embedded in main page reviewed where used. Standalone supplementary files and raw individual-level data not downloaded.,extracted,unavailable
G06,Single-cell eQTL mapping identifies cell type-specific genetic control of autoimmune disease,Seyhan Yazar et al.,2022,https://pubmed.ncbi.nlm.nih.gov/35389779/,10.1126/science.abf3041,35389779,primary_study,2022 primary publication; exact publisher revision unavailable,2026-09-12T04:16:08.210155+00:00,abstract_and_metadata,research/genomic/snapshots/G06_open.txt,12ff96ede606113d227851de616310821525737269843b19b5863385e17f2402,Homo sapiens,"OneK1K anchor evaluated at abstract level: 982 donors, 1,267,758 PBMCs, 14 cell types. No molecule-specific assertion extracted from aggregate coverage. Publisher full-text request returned 403. MR language in abstract is not accepted as experimental variant causality.",extracted,unavailable
G07,Immune disease risk variants regulate gene expression dynamics during CD4+ T cell activation,"[""Blagoje Soskic"",""Kiki Cano-Gamez"",""Deborah J Smyth"",""Kirsty Ambridge"",""Ziying Ke"",""Julie C Matte"",""Lara Bossini-Castillo"",""Joanna Kaplanis"",""Lucia Ramirez-Navarro"",""Anna Lorenc"",""Nikolina Nakic"",""Jorge Esparza-Gordillo"",""Wendy Rowan"",""David Wille"",""David F Tough"",""Paola G Bronson"",""Gosia Trynka""]",2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9197762/,10.1038/s41588-022-01066-3,35618845,primary_study,2022 primary publication; exact publisher revision unavailable,2026-09-12T17:21:07.164888+00:00,full_text,research/genomic/snapshots/G07_fulltext.html,90dec76f49467727354b9ec9f7e3a1689c75a4879fe92702917f4458ffed15b5,Homo sapiens,Primary publication snapshot; supplementary captions embedded in main page reviewed where used. Standalone supplementary files and raw individual-level data not downloaded.,extracted,unavailable
G08,Interleukin 7 receptor alpha chain (IL7R) shows allelic and functional association with multiple sclerosis,Simon G Gregory et al.,2007,https://pubmed.ncbi.nlm.nih.gov/17660817/,10.1038/ng2103,17660817,primary_study,2007 primary publication; exact publisher revision unavailable,2026-09-12T04:16:08.436713+00:00,abstract_and_metadata,research/genomic/snapshots/G08_open.txt,2ca2ed156d83aa7e45425de54fbd1f0b5311e231ced85f63d44418a2ce9d5ebf,Homo sapiens,Abstract-only historical association anchor. Functional assay methods and cohort-level membership not verified here; only disease association is extracted.,extracted,unavailable
G09,Common Genetic Variants Modulate Pathogen-Sensing Responses in Human Dendritic Cells,"[""Mark N Lee"",""Chun Ye"",""Alexandra-Chloé Villani"",""Towfique Raj"",""Weibo Li"",""Thomas M Eisenhaure"",""Selina H Imboywa"",""Portia I Chipendo"",""F Ann Ran"",""Kamil Slowikowski"",""Lucas D Ward"",""Khadir Raddassi"",""Cristin McCabe"",""Michelle H Lee"",""Irene Y Frohlich"",""David A Hafler"",""Manolis Kellis"",""Soumya Raychaudhuri"",""Feng Zhang"",""Barbara E Stranger"",""Christophe O Benoist"",""Philip L De Jager"",""Aviv Regev"",""Nir Hacohen""]",2014,https://pmc.ncbi.nlm.nih.gov/articles/PMC4124741/,10.1126/science.1246980,24604203,primary_study,2014 primary publication; exact publisher revision unavailable,2026-09-12T16:52:18.496675+00:00,full_text,research/genomic/snapshots/G09_fulltext.html,2757c6c4e56a14030dc9f42d38c01dfad94e2d0472e36d013f96f35e697781fb,Homo sapiens,Primary publication snapshot; supplementary captions embedded in main page reviewed where used. Standalone supplementary files and raw individual-level data not downloaded.,extracted,unavailable
G10,Context-specific regulation of surface and soluble IL7R expression by an autoimmune risk allele,"[""Hussein Al-Mossawi"",""Nicole Yager"",""Chelsea A Taylor"",""Evelyn Lau"",""Sara Danielli"",""Jelle de Wit"",""James Gilchrist"",""Isar Nassiri"",""Elise A Mahe"",""Wanseon Lee"",""Laila Rizvi"",""Seiko Makino"",""Jane Cheeseman"",""Matt Neville"",""Julian C Knight"",""Paul Bowness"",""Benjamin P Fairfax""]",2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6783569/,10.1038/s41467-019-12393-1,31594933,primary_study,2019 primary publication; exact publisher revision unavailable,2026-09-12T16:52:17.832645+00:00,full_text,research/genomic/snapshots/G10_fulltext.html,fd9b54e4e1b84f4dc51b3cd26a3f379f611eced0f5e63d99555bd0b85b454efa,Homo sapiens,Primary publication snapshot; supplementary captions embedded in main page reviewed where used. Standalone supplementary files and raw individual-level data not downloaded.,extracted,unavailable
P_S01,Social network architecture of human immune cells unveiled by quantitative proteomics,Jan C Rieckmann et al.,2017,https://www.nature.com/articles/ni.3693,10.1038/ni.3693,28263321,primary_study,version of record 2017; database release unavailable,2026-09-12,abstract_and_supplementary_captions,research/proteomic/snapshots/atlas_publisher_page.html,e1f46d13ea56494ca9b897e1b739bf8eb2ab3399d4e5e1eaa61d2e1de5a31304,Homo sapiens,Publisher page is partial article access ; atlas main molecular matrix was not extracted. The study covers 28 human populations and total/secreted proteomes. Supplementary Fig. 3 explicitly reports that CD45RA/RO isoforms were not resolved by this MS workflow.,extracted,unavailable
P_S02,Single-cell mass cytometry of differential immune and drug responses across a human hematopoietic continuum,Sean C Bendall et al.,2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3273988/,10.1126/science.1198704,21551058,primary_study,Science 2011 version of record; PMC author manuscript available 2012-02-07,2026-09-12,full_text,research/proteomic/snapshots/bendall_fulltext.html,73c3dcc246f01706db7fd878734c3f2d836391da1e7918f4315acf1bddef8c55,Homo sapiens,PMC author manuscript. PTM-site and reagent-clone details require supplement retrieval; no phosphorylation result is interpreted as downstream function.,extracted,unavailable
P_S03,Simultaneous epitope and transcriptome measurement in single cells,Marlon Stoeckius et al.,2017,https://www.nature.com/articles/nmeth.4380,10.1038/nmeth.4380,unavailable,primary_study,version of record 2017; database release unavailable,2026-09-12,abstract_and_supplementary_captions,research/proteomic/snapshots/cite_publisher_page.html,b5e3ba5a6a270e6fd8181c031641877920d5ce2b2a0724608ccd4b666800dda5,Homo sapiens,"Publisher page contains accessible supplementary captions; main-body access incomplete. Assertions use Supplementary Fig. 6 captions, not uninspected raw count matrices.",extracted,unavailable
P_S04,Multiplexed quantification of proteins and transcripts in single cells,Vanessa M Peterson et al.,2017,https://www.nature.com/articles/nbt.3973,10.1038/nbt.3973,unavailable,primary_study,version of record 2017; database release unavailable,2026-09-12,full_text,research/proteomic/snapshots/reap_fulltext.pdf,bba7753a2baea26cb649e574e530791a040f1d37958b1e59f244d9331058356d,Homo sapiens,"Publisher PDF hosted by UCSF; article and methods inspected using web PDF text. Source extraction also saved in extract1.json, extract2.json and methods.json. Marker-RNA correlations do not measure receptor responsiveness.",extracted,unavailable
P_S05,Plasma proteomic associations with genetics and health in the UK Biobank,Benjamin B Sun et al.,2023,https://www.nature.com/articles/s41586-023-06592-6,10.1038/s41586-023-06592-6,unavailable,primary_study,version of record 2023; database release unavailable,2026-09-12,full_text_sections,research/proteomic/snapshots/open3.json,55bf684aea6dba87a915b28e45488c912f5fc6eb2b3f021e3aba8f5436cc20b8,Homo sapiens,"UKB-PPP Olink Explore 3072. The pQTL supports circulating assay signal association, not cell of origin or receptor activity. 2,941 analytes map to 2,923 unique proteins; replicated cytokine channels remain separate assay records.",extracted,unavailable
P_S06,Large-scale plasma proteomics comparisons through genetics and disease associations,Grimur Hjorleifsson Eldjarn et al.,2023,https://www.nature.com/articles/s41586-023-06563-x,10.1038/s41586-023-06563-x,37794188,primary_study,version of record 2023; database release unavailable,2026-09-12,full_text_sections,research/proteomic/snapshots/extract2.json,5e6d7a8cb7fdc9c6d6036c9b2d612244bf0de03bc62ebca77ea7298f883325d8,Homo sapiens,"Also see extract1.json and methods.json. UKB samples overlap UKB-PPP (P_S05); deCODE 2021 participants are reused. The authors regard 23% of Olink and 24% of SomaScan sentinel cis signals as potentially epitope-driven, based on PAV linkage without cis-eQTL linkage; this is an inference, not orthogonal validation of every target.",extracted,unavailable
P_S07,Comparative studies of 2168 plasma proteins measured by two affinity-based platforms in 4000 Chinese adults,Baihan Wang et al.,2025,https://www.nature.com/articles/s41467-025-56935-2,10.1038/s41467-025-56935-2,unavailable,primary_study,version of record 2025; database release unavailable,2026-09-12,full_text_sections,research/proteomic/snapshots/extract3.json,6af3e7c4129c2432098ba3fef4eca06a4e83b0cd3777c9c95af48ef369c48252,Homo sapiens,"Also see open4.json. Direct paired-sample CKB comparison used Olink Explore 3072 and SomaScan v4.1; median correlation was 0.29 across 2,749 reagent pairs and 0.26 for 1,694 one-to-one pairs. Same participants across assays are not independent replication.",extracted,unavailable
P_S08,Activated platelets mediate inflammatory signaling by regulated interleukin 1β synthesis,Stephan Lindemann et al.,2001,https://pmc.ncbi.nlm.nih.gov/articles/PMC2196422/,10.1083/jcb.200105058,11489912,primary_study,version of record 2001; database release unavailable,2026-09-12,full_text,research/proteomic/snapshots/platelet_fulltext.html,13728c96a93ea8a6762c20dae81bab2979cb84046a4f42b2432b735c02151359,Homo sapiens,Human platelet secretion and endothelial adhesion experiments. Precursor and mature IL1B ELISAs were reported not to cross-react. Fig. 4 legend uses 18 h secretion collection whereas microvesicle methods describe 8 h; preserve this internal timing discrepancy.,extracted,unavailable
R001,LIANA+,unavailable,unavailable,https://liana-py.readthedocs.io/en/latest/,unavailable,unavailable,resource,unavailable,2026-09-12T16:52:31.816517+00:00,resource_landing_page,research/references/resource_01.html,511207a03fe6f8a2d8e02c4bda8d85a68cbaae5609ec4023b2ae632021ef9231,unavailable,Inference; P0 outputs; imported resource overlap,registry_only,unavailable
R002,CellPhoneDB,unavailable,unavailable,https://www.cellphonedb.org/,unavailable,unavailable,resource,unavailable,2026-09-12T16:52:33.067117+00:00,resource_landing_page,research/references/resource_02.html,9f759d28535cb6639733ea1d8de8ff59e244bb979e0b8ddda5948bd71ef8ea45,unavailable,Multimeric ligand/receptor knowledge; inferred communication is P0,registry_only,unavailable
R003,OmniPath,unavailable,unavailable,https://omnipathdb.org/,unavailable,unavailable,resource,unavailable,2026-09-12T16:52:34.346091+00:00,resource_landing_page,research/references/resource_03.html,b3d2c99b8dd47fcc8f8443c81c687ceb2bc24a9f24d3aa1fd9c93e6f48a43831,unavailable,Aggregated interactions; original source deduplication required,registry_only,unavailable
R004,Reactome,unavailable,unavailable,https://reactome.org/,unavailable,unavailable,resource,unavailable,2026-09-12T16:52:35.107687+00:00,resource_landing_page,research/references/resource_04.html,407c216919d76e93c20766b1b118a2b42f2e972eed88da53cf8a65173fad9637,unavailable,Curated pathways; verify species and original experiment,registry_only,unavailable
R005,SIGNOR,unavailable,unavailable,https://signor.uniroma2.it/,unavailable,unavailable,resource,unavailable,2026-09-13T01:19:34.065922+00:00,retrieval_failed,unavailable,unavailable,unavailable,Signed causal relationships; extract original evidence and context; local variable 'urllib' referenced before assignment,registry_only,unavailable
R006,GWAS Catalog,unavailable,unavailable,https://www.ebi.ac.uk/gwas/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:01.750986+00:00,resource_landing_page,research/references/resource_06.html,73543cbf5f0339a3a0fe272f5ef2e59b18feccec644a28578776e4f82e594a91,unavailable,Association/fine-mapping; locus does not establish target gene,registry_only,unavailable
R007,eQTL Catalogue,unavailable,unavailable,https://www.ebi.ac.uk/eqtl/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:02.602189+00:00,resource_landing_page,research/references/resource_07.html,4184d91c72132b407ef17a7914250a9f9b0ac7481a81aecae852d0cb7c154fe3,unavailable,Study-specific molecular QTL; datasets may overlap original papers,registry_only,unavailable
R008,GTEx,unavailable,unavailable,https://gtexportal.org/home/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:03.237009+00:00,resource_landing_page,research/references/resource_08.html,4e1380746cec86eca3a6c5dd3e65fbeab58a2d8758539a6ea4dc2c98c5a88f0f,unavailable,Bulk tissue QTL; cellular composition and ancestry limit transfer,registry_only,unavailable
R009,IPD-IMGT/HLA,unavailable,unavailable,https://www.ebi.ac.uk/ipd/imgt/hla/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:03.966511+00:00,resource_landing_page,research/references/resource_09.html,0f49da29417cae73bf867332e049b2286c38424d2c26977f7e1384dfb09a350d,unavailable,Allele nomenclature; not direct functional effect evidence,registry_only,unavailable
R010,IPD-KIR,unavailable,unavailable,https://www.ebi.ac.uk/ipd/kir/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:04.752210+00:00,resource_landing_page,research/references/resource_10.html,13ceafe512d6f8dc557bd48b13394fabeab743acd832068c4ee58d86b6eb88b3,unavailable,KIR allele/structural variation nomenclature,registry_only,unavailable
R011,ENCODE,unavailable,unavailable,https://www.encodeproject.org/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:05.961857+00:00,resource_landing_page,research/references/resource_11.html,bffdedbde05ae0788290da20a8eaa43b4aa926f341f0728b773cc376d8e75c86,unavailable,Regulatory measurements; activity does not identify causal variant alone,registry_only,unavailable
R012,Human Cell Atlas,unavailable,unavailable,https://data.humancellatlas.org/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:07.036520+00:00,resource_landing_page,research/references/resource_12.html,c5d8d124691dc870f34d7ce74e77a4b047fccc8b76249c6489c5e29456f29b9e,unavailable,Cellular transcriptomic atlas; ontology and donor QC,registry_only,unavailable
R013,CELLxGENE,unavailable,unavailable,https://cellxgene.cziscience.com/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:08.245047+00:00,resource_landing_page,research/references/resource_13.html,b6d3907cdd632f5683eedc24a3d58dcce48872aab0d786a25401bcea9361f86b,unavailable,Atlas aggregation; preserve collection/dataset versions,registry_only,unavailable
R014,Human Protein Atlas,unavailable,unavailable,https://www.proteinatlas.org/,unavailable,unavailable,resource,unavailable,2026-09-12T16:53:09.763646+00:00,resource_landing_page,research/references/resource_14.html,7e6c4ef019bf27d8cb9a9629b9c5d42b693e665b7ecab045de42240a2fac559a,unavailable,RNA/protein evidence and antibody validation must remain distinct,registry_only,unavailable
