gap_id,lane,description,status
cytokine_2,cytokine,"{""followup"":{""evidence"":""data/curation_overrides_0.2.json; research/curation_review_response_0.2.json"",""resolution"":""Full primary Methods and Results for C-S05 and C-S07 were inspected; all four inherited affected assertions were corrected and independently rechecked. The unrelated C-S04 OCR precision limitation remains."",""status"":""partially_resolved""},""original_gap"":{""detail"":""C-S05 and C-S07 remain needs_full_text; NCBI API supplied only abstracts and browser full text returned CAPTCHA. C-S04 OCR contains errors; numeric results deliberately not copied."",""gap_id"":""C-GAP02"",""topic"":""Access""}}",partially_resolved
cytokine_3,cytokine,"{""detail"":""Human PBMC 24h versus mouse lymph-node 4h, different doses/tissues/species; no direct pooled prior or cross-species path. A549 findings are a separate transformed-cell context."",""gap_id"":""C-GAP03"",""topic"":""Transportability""}",open
cytokine_4,cytokine,"{""detail"":""No inferred receptor availability from RNA; no secreted cytokine from RNA; no proliferation/cytotoxicity from gene programs. HCD and CytoSig communication predictions not entered as causal edges."",""gap_id"":""C-GAP04"",""topic"":""Mechanism""}",open
cytokine_5,cytokine,"{""detail"":""bioRxiv published=NA is repository linkage status, not proof no journal publication exists. Exact-title search plus two preprint records support preprint classification as of retrieval."",""gap_id"":""C-GAP05"",""topic"":""Versions""}",open
cytokine_6,cytokine,"{""detail"":""Older assays have unavailable independent donor totals. P1/P3/P4 patient data overlap historical publications. CytoSig reused primary studies require accession-level deduplication before expansion."",""gap_id"":""C-GAP06"",""topic"":""Publication and cohort bias""}",open
cytokine_7,cytokine,"{""detail"":""IL12 perturbation reagent label retained as IL12; do not equate unknown clinical IL12 assay channel with IL12p70. VEGF and high-range CXCL8 assay definitions require user/platform documentation."",""gap_id"":""C-GAP07"",""topic"":""IL12 and VEGF identities""}",open
cytokine_8,cytokine,"{""followup"":{""evidence"":""research/receptor_expansion/pack.json; research/receptor_review_response_0.2.json"",""resolution"":""Receptor expansion now includes cell-free LTA-complex binding, whole-monocyte VEGFA165 binding and targeted proximal phosphorylation measurements. Comprehensive dose/time grids, ancestry stratification and citation chaining remain open."",""status"":""partially_resolved""},""original_gap"":{""detail"":""No receptor-binding biochemistry, phosphoproteomic dose/time grids, ancestry stratification or full priority-set citation chaining completed in this pilot."",""gap_id"":""C-GAP08"",""topic"":""Missing scope""}}",partially_resolved
cytokine_expansion_1,cytokine_expansion,"{""detail"":""Adult CD4 chemotaxis and partial antiIL16 inhibition are now extracted. Fetal source-cell secretion, cytokine active-isoform identity,CD4 receptor dependence,and in vivo trafficking remain unmeasured in the retained experiment."",""gap_id"":""XCI-G01"",""topic"":""IL16 source and receptor""}",open
cytokine_expansion_2,cytokine_expansion,"{""followup"":{""evidence"":""research/review_cytokine_0.2.json; data/reviewed_expansion_packs.json"",""resolution"":""All 22 assertions have full-article Methods/Results coverage and passed independent review at the exact approved extraction/source hashes. Selected supporting passages are archived; scientific limitations in the other gap rows remain."",""status"":""resolved""},""original_gap"":{""detail"":""All eight sources now have relevant full-article Methods and Results inspected through Chrome. No needs_full_text flags remain solely due to initial web failures. Selected passages,not complete downloaded articles,are archived. Independent exact-pack-hash review remains pending."",""gap_id"":""XCI-G02"",""topic"":""Access closure""}}",resolved
cytokine_expansion_3,cytokine_expansion,"{""detail"":""No complete paths constructed. No human receptor knockout inferred from mouse arms. Ligand neutralization and signaling inhibitors are not direct binding evidence. Antisense and pharmacological specificity remain limited."",""gap_id"":""XCI-G03"",""topic"":""Mechanistic limits""}",open
cytokine_expansion_4,cytokine_expansion,"{""detail"":""Unique donors,ancestry,and assay-arm overlap remain unavailable when not reported. Commercial keratinocyte pools and technical/experimental replicates are not treated as independent people. Fluid-donor and target-cell-donor counts are distinct."",""gap_id"":""XCI-G04"",""topic"":""Cohort independence""}",open
cytokine_expansion_5,cytokine_expansion,"{""detail"":""XCI-S04 Table1 and text disagree on IL2-only cycling values and dose/timing labels. XCI-A09/A22 are low-confidence qualitative context records. XCI-S07 generic Methods48h conflicts with Figure3-specific24h;Figure3 duration retained explicitly."",""gap_id"":""XCI-G05"",""topic"":""Source inconsistencies""}",open
cytokine_expansion_6,cytokine_expansion,"{""detail"":""All six assigned cytokines have primary human responses represented. Coverage is a targeted supplement rather than a systematic or exhaustive review. Broad source-secretion and receptor-perturbation gaps remain; no counts were inflated by transporting unmeasured biology."",""gap_id"":""XCI-G06"",""topic"":""Bounded coverage""}",open
genomic_1,genomic,"{""description"":""This is a purposive 10-publication pilot, not exhaustive systematic search. No independent database-wide screening, full inclusion/exclusion ledger, full citation chaining, or search saturation is claimed."",""gap_id"":""G-GAP01""}",open
genomic_10,genomic,"{""description"":""No source-to-target cytokine pathway is proven by these genomic assertions. Reporter, transformed-line, primary-cell, resting/stimulated, timepoint, RNA/protein and species contexts must pass compatibility checks before assembly."",""gap_id"":""G-GAP10""}",open
genomic_2,genomic,"{""description"":""OneK1K is abstract-level and contributes cohort/source context only. Obtain full methods, ancestry and variant-level summary statistics before any molecule-specific assertions or causal-MR interpretation."",""gap_id"":""G-GAP02""}",open
genomic_3,genomic,"{""description"":""The 2018 IL2RA author correction is confirmed; indexed excerpt indicates altered EDEL Treg percentages after genotype correction/paired analysis. Correction full text is not obtained. Original EDEL steady-state phenotype statement is not imported."",""gap_id"":""G-GAP03""}",open
genomic_4,genomic,"{""description"":""Cohort independence remains unresolved for ImmVar/PhenoGenetic reuse, DICE protein follow-up, BLUEPRINT secondary analyses and MS association cohorts. Explicit G10→G01 subset reuse must be enforced in weighting."",""gap_id"":""G-GAP04""}",open
genomic_5,genomic,"{""description"":""DICE ancestry distribution, individual BLUEPRINT ancestry filtering, and complete dose/time metadata in ImmVar/Lee still need supplementary extraction. Soskic reported sex percentages conflict with counts; retain counts without erroneous percentages."",""gap_id"":""G-GAP05""}",open
genomic_6,genomic,"{""description"":""Lead variants and event coordinates missing for VAMP8, AIMP1, TNF and TNFRSF1A event descriptions. These are target/event-level evidence records, not fully identified variant-specific prior inputs."",""gap_id"":""G-GAP06""}",open
genomic_7,genomic,"{""description"":""HLA/KIR, structural variation, somatic variants, ancestry-diverse immune QTL atlases, pQTL colocalization, cytokine-QTL dose-response and tissue-resident immune regulation are not systematically covered."",""gap_id"":""G-GAP07""}",open
genomic_8,genomic,"{""description"":""Recent indexed candidates require next-round screening: Genome-scale mapping of variant, enhancer and gene function in primary human CD4+ T cells (PMC13060838); Cell-type-specific eQTLs underlie the genetic architecture of complex traits (10.1038/s41586-026-10577-6); single-cell splicing study (10.1038/s41588-024-02019-8). No results are asserted without primary extraction; later OneK1K reuse must not count as independent replication."",""gap_id"":""G-GAP08""}",open
genomic_9,genomic,"{""description"":""Published absolute soluble IL7R concentrations in G10 may require unit verification against source data and assay calibration. They are intentionally not numeric magnitude priors; qualitative direction and reported association P are retained."",""gap_id"":""G-GAP09""}",open
proteomic_1,proteomic,"{""description"":""Bounded pilot corpus, not exhaustive systematic search. Eight selected primary studies do not cover every measured cytokine, tissue, disease, ancestry, HLA/KIR context, secretome or PTM."",""gap_id"":""P_G01""}",open
proteomic_2,proteomic,"{""followup"":{""evidence"":""data/curation_overrides_0.2.json; research/review_proteomic_curations_0.2.json"",""resolution"":""Primary atlas Methods/Results and CITE-seq Methods plus exact supplementary captions have been recovered and independently reviewed. Atlas IL34 phenotype is retained with an unresolved CD4 cell-gate discrepancy and inconclusive conventional-memory scoring. Raw proteome/ADT matrices and peptide-level reanalysis remain open."",""status"":""partially_resolved""},""original_gap"":{""description"":""Atlas main raw proteome/secretome matrix and unique peptide evidence were not extracted. Atlas assertions are limited to the directly described IL34 profile perturbation. CITE-seq captions require figure/count-matrix review before stronger grading."",""gap_id"":""P_G02""}}",partially_resolved
proteomic_3,proteomic,"{""description"":""Mass-cytometry PTM sites, antibody clones, doses and durations were not retrieved from supplements. Family-level STAT5 and p38 names are deliberately not converted into specific isoforms or sites."",""gap_id"":""P_G03""}",open
proteomic_4,proteomic,"{""description"":""UKB/deCODE reused cohort links identified; participant manifests and exact sample overlap across publications unavailable. All independence statuses remain unresolved; no publication-count replication multiplier is justified."",""gap_id"":""P_G04""}",open
proteomic_5,proteomic,"{""description"":""Affinity assay identifiers, targeted proteoforms, LOD and per-target batch metadata remain incomplete. Plasma findings must not generate source-cell, secretion, receptor-availability or activity edges."",""gap_id"":""P_G05""}",open
proteomic_6,proteomic,"{""description"":""No receptor-dependent functional conclusion from REAP-seq IL7R abundance; no functional proliferation conclusion from MKI67 RNA. ICOS RNA null retains a sensitivity explanation."",""gap_id"":""P_G06""}",open
proteomic_7,proteomic,"{""description"":""Platelet timing conflicts: Fig.4A says 18 h while microvesicle methods state 8 h; immunocytochemistry figure/methods also differ in thrombin concentration (0.1 versus 0.01 U/ml). P_A18 uses the explicit Fig.2B/C synthesis comparison; timing remains visible."",""gap_id"":""P_G07""}",open
proteomic_8,proteomic,"{""description"":""Entrez skill script could not execute because requests dependency was missing in system and bundled Python. Public web and directly saved article pages were used instead. Europe PMC fullTextXML request for PMC3497699 returned 404; article was screened but not extracted."",""gap_id"":""P_G08""}",open
receptor_expansion_1,receptor_expansion,"{""detail"":""Generic user IL-12 and VEGF labels remain unresolved. Explicit biological IL12p70 and VEGFA165 are not substituted for unspecified assay analytes."",""gap_id"":""XRE-G01"",""topic"":""Assay identity""}",open
receptor_expansion_2,receptor_expansion,"{""detail"":""JCI PDF micro symbols are corrupted in extracted text. Qualitative full-method evidence retained; affected doses unavailable until direct visual verification."",""gap_id"":""XRE-G02"",""topic"":""Dose typography""}",open
receptor_expansion_3,receptor_expansion,"{""detail"":""Unique donor counts and cross-arm reuse remain unavailable when not explicitly reported. Technical images/replicates are not people."",""gap_id"":""XRE-G03"",""topic"":""Donor independence""}",open
receptor_expansion_4,receptor_expansion,"{""detail"":""No complete source-to-target or cross-omic path constructed. Cell-free binding, phosphorylation, surface abundance, secretion and function are separate records."",""gap_id"":""XRE-G04"",""topic"":""Mechanistic completeness""}",open
