search_id,lane,query,database,searched_at,result_source_ids,screening_notes,snapshot_path,total_hits,returned_pmids,retrieval_limit
C-Q23,cytokine/signaling and perturbation transcriptomics,"""Activated signal transducer"" ""SOCS3"" ""IL-10"" ""5"" monocytes",web search; primary publications and repositories screened,2026-09-12,"[""C-S05""]","Actual batched search response retained in research/cytokine/snapshots/open7.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q24,cytokine/signaling and perturbation transcriptomics,"""Transpresentation of interleukin-15 by IL-15/IL-15Rα"" doi",web search; primary publications and repositories screened,2026-09-12,"[""C-S06""]","Actual batched search response retained in research/cytokine/snapshots/open7.json; result mapping documented by selected source registry, not an exhaustive search.",,,,
C-Q27,preprint status,details/biorxiv/10.64898/2025.12.12.693897/na/json,bioRxiv API,2026-09-12,"[""C-S02""]","Version1, date2025-12-15, published=NA; raw JSON saved.",,,,
C-Q28,full-text retrieval,"efetch db=pmc id=1810496,534504,2193232,10781646,2119001,12776526 retmode=xml",NCBI Entrez EUtilities,2026-09-12,"[""C-S01"",""C-S04"",""C-S05"",""C-S07"",""C-S08"",""C-S09""]",Mixed full-text/metadata response. Explicit access classification retained per source.,,,,
FULLTEXT_PMC1810496,fulltext_followup,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC1810496/fullTextXML,Europe PMC fullTextXML,2026-09-13T14:52:55.163511+00:00,unavailable,Full-text upgrade attempt: unavailable; HTTP Error 404: Not Found,research/fulltext_followup/retrieval.json,,,single_article
FULLTEXT_PMC534504,fulltext_followup,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC534504/fullTextXML,Europe PMC fullTextXML,2026-09-13T14:52:56.504977+00:00,unavailable,Full-text upgrade attempt: unavailable; HTTP Error 404: Not Found,research/fulltext_followup/retrieval.json,,,single_article
G-S001,genomic,Fairfax 2014 innate immune activity conditions effect regulatory variants monocytes eQTL Science,web search (targeted primary-publication discovery),2026-09-12T04:15:35.700607+00:00,"[""G01""]","Bounded purposive pilot; snapshot search_01.json. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S002,genomic,Simeonov 2017 IL2RA stimulation responsive enhancer rs61839660 Nature,web search (targeted primary-publication discovery),2026-09-12T04:15:35.700607+00:00,"[""G02""]","Bounded purposive pilot; snapshot search_01.json. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S003,genomic,Gregory 2007 IL7R rs6897932 alternative splicing multiple sclerosis,web search (targeted primary-publication discovery),2026-09-12T04:15:35.700607+00:00,"[""G03"",""G08""]","Bounded purposive pilot; snapshot search_01.json. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S004,genomic,Schmiedel 2018 Impact genetic polymorphisms human immune cell gene expression DICE PMC 91,web search (targeted primary-publication discovery),2026-09-12T04:15:58.569881+00:00,"[""G04""]","Bounded purposive pilot; snapshot search_02.json. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S005,genomic,Chen 2016 genetic drivers epigenetic transcriptional variation human immune cells BLUEPRINT PMC,web search (targeted primary-publication discovery),2026-09-12T04:15:58.569881+00:00,"[""G05""]","Bounded purposive pilot; snapshot search_02.json. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S006,genomic,Yazar 2022 single cell eQTL mapping identifies cell type specific genetic control autoimmune disease OneK1K PMC,web search (targeted primary-publication discovery),2026-09-12T04:15:58.569881+00:00,"[""G06""]","Bounded purposive pilot; snapshot search_02.json. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S007,genomic,Soskic 2022 immune disease risk variants regulate gene expression dynamics T cell activation Nature Genetics,web search (targeted primary-publication discovery),2026-09-12T04:15:58.569881+00:00,"[""G07""]","Bounded purposive pilot; snapshot search_02.json. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S008,genomic,"""Discovery of stimulation-responsive"" PMC",web search (targeted primary-publication discovery),2026-09-12T13:32:43.192953+00:00,"[""G02""]","Bounded purposive pilot; snapshot Gsearch3_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S009,genomic,"""Human epistatic interaction controls IL7R splicing"" ""rs2523506""",web search (targeted primary-publication discovery),2026-09-12T13:32:43.192953+00:00,"[""G03"",""G10""]","Bounded purposive pilot; snapshot Gsearch3_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S010,genomic,"""Common genetic variants modulate pathogen-sensing responses"" Lee 2014 PMC",web search (targeted primary-publication discovery),2026-09-12T13:32:43.192953+00:00,"[""G09""]","Bounded purposive pilot; snapshot Gsearch3_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S011,genomic,"""Immune disease risk variants"" ""rs"" ""Soskic""",web search (targeted primary-publication discovery),2026-09-12T13:32:43.192953+00:00,[],"Bounded purposive pilot; snapshot Gsearch3_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. No extractable result selected for this exact query.",,,,
G-S012,genomic,"site.pmc.ncbi.nlm.nih.gov/articles/PMC5675716/ ""rs61839660"" ""luciferase""",web search (targeted primary-publication discovery),2026-09-12T16:52:21.501221+00:00,"[""G02""]","Bounded purposive pilot; snapshot Gsearch4_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S013,genomic,"site.pmc.ncbi.nlm.nih.gov/articles/PMC6783569/ ""monocytes"" ""rs6897932""",web search (targeted primary-publication discovery),2026-09-12T16:52:21.501221+00:00,"[""G10""]","Bounded purposive pilot; snapshot Gsearch4_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S014,genomic,"site.pmc.ncbi.nlm.nih.gov/articles/PMC5119954/ ""IL6R""",web search (targeted primary-publication discovery),2026-09-12T16:52:21.501221+00:00,[],"Bounded purposive pilot; snapshot Gsearch4_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. No extractable result selected for this exact query.",,,,
G-S015,genomic,"site.nature.com/articles/s41588-022-01066-3 ""rs""",web search (targeted primary-publication discovery),2026-09-12T16:52:21.501221+00:00,[],"Bounded purposive pilot; snapshot Gsearch4_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. No extractable result selected for this exact query.",,,,
G-S016,genomic,"""Immune disease risk variants regulate gene expression dynamics"" ""PMC""",web search (targeted primary-publication discovery),2026-09-12T17:21:07.538698+00:00,"[""G07""]","Bounded purposive pilot; snapshot Gsearch7_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S017,genomic,"""OneK1K"" ""European"" ""GSE196830""",web search (targeted primary-publication discovery),2026-09-12T17:21:07.538698+00:00,"[""G06""]","Bounded purposive pilot; snapshot Gsearch7_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
G-S018,genomic,"""Author Correction"" ""0227-7"" ""percentages""",web search (targeted primary-publication discovery),2026-09-12T17:21:07.538698+00:00,"[""G02""]","Bounded purposive pilot; snapshot Gsearch7_retrieval.txt. Timestamp is saved tool-response time, not an inferred publication date. Primary sources selected for study/variant relevance; unrelated and review results not used as mechanistic evidence.",,,,
P_Q01,D proteomic with paired transcriptional observations,human immune cell proteomic atlas Rieckmann 2017 Nature Immunology transcriptome secretome,web search,2026-09-12,"[""P_S01"",""P_S02"",""P_S03"",""P_S05"",""P_S06""]","Initial bounded anchor search. Kept primary sources; secondary reviews were not assertion evidence. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q02,D proteomic with paired transcriptional observations,Bendall 2011 single cell mass cytometry differential immune drug responses phosphorylation cytokine human bone marrow,web search,2026-09-12,"[""P_S01"",""P_S02"",""P_S03"",""P_S05"",""P_S06""]","Initial bounded anchor search. Kept primary sources; secondary reviews were not assertion evidence. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q03,D proteomic with paired transcriptional observations,Stoeckius 2017 CITE-seq RNA protein correlation CD4 CD8 transcript,web search,2026-09-12,"[""P_S01"",""P_S02"",""P_S03"",""P_S05"",""P_S06""]","Initial bounded anchor search. Kept primary sources; secondary reviews were not assertion evidence. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q04,D proteomic with paired transcriptional observations,Sun 2023 plasma proteomic associations UK Biobank Olink protein altering variants epitope,web search,2026-09-12,"[""P_S01"",""P_S02"",""P_S03"",""P_S05"",""P_S06""]","Initial bounded anchor search. Kept primary sources; secondary reviews were not assertion evidence. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q05,D proteomic with paired transcriptional observations,"site.nature.com ""Simultaneous epitope and transcriptome measurement in single cells""",web search,2026-09-12,"[""P_S03"",""P_S04""]","CITE-seq, REAP-seq and secretome search. Meissner 2013 and HSV macrophage studies screened but not molecule-extracted because full relevant results were unavailable at screening. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q06,D proteomic with paired transcriptional observations,"site.nature.com ""Multiplexed quantification of proteins and transcripts in single cells""",web search,2026-09-12,"[""P_S03"",""P_S04""]","CITE-seq, REAP-seq and secretome search. Meissner 2013 and HSV macrophage studies screened but not molecule-extracted because full relevant results were unavailable at screening. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q07,D proteomic with paired transcriptional observations,"""Social network architecture"" ""CCL"" ""IL"" proteomics",web search,2026-09-12,"[""P_S03"",""P_S04""]","CITE-seq, REAP-seq and secretome search. Meissner 2013 and HSV macrophage studies screened but not molecule-extracted because full relevant results were unavailable at screening. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q08,D proteomic with paired transcriptional observations,human macrophage secretome IL1 beta secreted mass spectrometry inflammasome Meissner 2013,web search,2026-09-12,"[""P_S03"",""P_S04""]","CITE-seq, REAP-seq and secretome search. Meissner 2013 and HSV macrophage studies screened but not molecule-extracted because full relevant results were unavailable at screening. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q09,D proteomic with paired transcriptional observations,"site.pmc.ncbi.nlm.nih.gov/articles/PMC3497699 ""RESULTS"" ""IL-1β""",web search,2026-09-12,"[""P_S02"",""P_S07""]","Targeted queries yielded many irrelevant hits; no assertion based on non-target results. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q10,D proteomic with paired transcriptional observations,"site.pmc.ncbi.nlm.nih.gov/articles/PMC3497699 ""apoptosis"" ""IFN""",web search,2026-09-12,"[""P_S02"",""P_S07""]","Targeted queries yielded many irrelevant hits; no assertion based on non-target results. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q11,D proteomic with paired transcriptional observations,"site.pmc.ncbi.nlm.nih.gov/articles/PMC3273988 ""IL-3"" ""STAT3""",web search,2026-09-12,"[""P_S02"",""P_S07""]","Targeted queries yielded many irrelevant hits; no assertion based on non-target results. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q12,D proteomic with paired transcriptional observations,"site.nature.com/articles/s41467-025-56935-2 ""correlation"" ""IL6""",web search,2026-09-12,"[""P_S02"",""P_S07""]","Targeted queries yielded many irrelevant hits; no assertion based on non-target results. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q13,D proteomic with paired transcriptional observations,"""Global Secretome Characterization"" ""IL-18""",web search,2026-09-12,"[""P_S04""]","Retrieved REAP-seq PDF. Atlas/HSV exact-term search did not yield further usable molecule-specific results. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q14,D proteomic with paired transcriptional observations,"""Global Secretome Characterization"" ""cell death""",web search,2026-09-12,"[""P_S04""]","Retrieved REAP-seq PDF. Atlas/HSV exact-term search did not yield further usable molecule-specific results. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q15,D proteomic with paired transcriptional observations,"""Social network architecture of human immune cells"" ""CCL""",web search,2026-09-12,"[""P_S04""]","Retrieved REAP-seq PDF. Atlas/HSV exact-term search did not yield further usable molecule-specific results. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q16,D proteomic with paired transcriptional observations,"""Multiplexed quantification"" ""RNA"" ""CD4""",web search,2026-09-12,"[""P_S04""]","Retrieved REAP-seq PDF. Atlas/HSV exact-term search did not yield further usable molecule-specific results. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q17,D proteomic with paired transcriptional observations,"""Activated platelets mediate inflammatory signaling"" ""adhesion""",web search,2026-09-12,"[""P_S08""]","Selected primary platelet study; reviews used only as citation leads. CSF1 atlas query gave no extractable result. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q18,D proteomic with paired transcriptional observations,"""Activated platelets mediate inflammatory signaling"" ""IL-1"" ""microparticles""",web search,2026-09-12,"[""P_S08""]","Selected primary platelet study; reviews used only as citation leads. CSF1 atlas query gave no extractable result. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q19,D proteomic with paired transcriptional observations,"""Social network architecture"" ""CSF1""",web search,2026-09-12,"[""P_S08""]","Selected primary platelet study; reviews used only as citation leads. CSF1 atlas query gave no extractable result. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q20,D,"""Large-scale plasma proteomics comparisons"" ""Nature"" ""2023""",web search,2026-09-12,"[""P_S03"",""P_S06"",""P_S07""]","search3.json retains actual response. The 2025 CKB comparison was discovered by citation-related search results; HSV source not extracted. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q21,D,"""Simultaneous epitope"" ""correlation"" CD8 NK",web search,2026-09-12,"[""P_S03"",""P_S06"",""P_S07""]","search3.json retains actual response. The 2025 CKB comparison was discovered by citation-related search results; HSV source not extracted. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
P_Q22,D,"""Global Secretome Characterization"" ""IL-1β"" HSV apoptosis",web search,2026-09-12,"[""P_S03"",""P_S06"",""P_S07""]","search3.json retains actual response. The 2025 CKB comparison was discovered by citation-related search results; HSV source not extracted. Result source IDs refer to the combined response for the batched queries, not a proven per-query attribution.",,,,
RSEARCH_A,A,"((cytokine OR chemokine) AND (immune OR leukocyte) AND (perturbation OR receptor OR signaling)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:04.904173+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_A.json,225694,"[""24663091"",""38532043"",""31185212"",""40186195"",""29556238"",""39228313"",""33603227"",""39159505"",""22224780"",""30817405""]",10
RSEARCH_B,B,"((immune OR leukocyte) AND (eQTL OR sQTL OR pQTL OR fine-mapping OR colocalization OR response-QTL)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:16.764220+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_B.json,11224,"[""33013870"",""38598774"",""41042672"",""39468075"",""40318090"",""36745138"",""33419790"",""40791604"",""40548376"",""41507351""]",10
RSEARCH_C,C,"((immune OR leukocyte) AND (single-cell OR RNA-seq OR transcriptomic OR Perturb-seq)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:21.954125+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_C.json,128600,"[""34062119"",""38954480"",""34290408"",""31942075"",""31974159"",""40931012"",""32673538"",""32029736"",""32514174"",""38817208""]",10
RSEARCH_D,D,"((immune OR leukocyte) AND (proteomic OR phosphoproteomic OR secretome OR CITE-seq OR CyTOF)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:25.185406+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_D.json,35127,"[""35021063"",""34062119"",""39198645"",""39616195"",""41162704"",""40716489"",""42167233"",""35026155"",""31142858"",""41591301""]",10
RSEARCH_entity_CCL11,entity_CCL11,"(""CCL11"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:28.105705+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CCL11.json,655,"[""31029506"",""21886162"",""28476436"",""32723296"",""33182504"",""33846499"",""25430645"",""30547375"",""41314518"",""10389546""]",10
RSEARCH_entity_CCL13,entity_CCL13,"(""CCL13"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:11:22.388913+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CCL13.json,133,"[""38565563"",""40551570"",""39513363"",""27295613"",""27340388"",""40113544"",""33182504"",""28324102"",""27466507"",""28139852""]",10
RSEARCH_entity_CCL17,entity_CCL17,"(""CCL17"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:42.932486+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CCL17.json,619,"[""39726595"",""37005490"",""31552022"",""39044999"",""31102428"",""33597749"",""39244902"",""35113652"",""39009587"",""36753921""]",10
RSEARCH_entity_CCL2,entity_CCL2,"(""CCL2"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:44.553265+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CCL2.json,5138,"[""35247648"",""29080202"",""31029506"",""27965260"",""32587468"",""40113544"",""33182504"",""25756268"",""32990479"",""27143261""]",10
RSEARCH_entity_CCL22,entity_CCL22,"(""CCL22"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:46.789236+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CCL22.json,559,"[""37005490"",""38924414"",""38026988"",""33597749"",""37683329"",""35113652"",""39097197"",""38483248"",""39229899"",""25482871""]",10
RSEARCH_entity_CCL26,entity_CCL26,"(""CCL26"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:49.489903+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CCL26.json,197,"[""32033786"",""39115359"",""38026988"",""38565563"",""39988202"",""39097197"",""26709128"",""41314518"",""34037993"",""36804595""]",10
RSEARCH_entity_CCL3,entity_CCL3,"(""CCL3"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:52.027241+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CCL3.json,1420,"[""28122130"",""37005490"",""41650972"",""37876509"",""28553619"",""35914697"",""36729338"",""38309677"",""33076281"",""12401480""]",10
RSEARCH_entity_CCL4,entity_CCL4,"(""CCL4"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T18:59:55.372370+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CCL4.json,1625,"[""29080202"",""37215993"",""37876509"",""28553619"",""33076281"",""32587468"",""12401480"",""36401984"",""37918053"",""40327010""]",10
