finding_id,critic_run_id,severity,target_type,target_id,challenge,evidence,recommendation,disposition
CR-CYT-004,CR-CYT-20260912-01,low,cohort,C-CO08; C-CO09,Known participant overlap is recorded only in prose while both parent_cohort fields and independence statuses remain unresolved. The overlap between P1/P3 clone experiments and the expanded P1/P3/P4/P17 blast experiments is known even though complete sample-level identity and historical-publication reuse are not resolved.,"research/cytokine/snapshots/PMC2193232.txt lines 27-29 names P1, P3, P4 and P17 and identifies P1/P3 as the clone donors; the STAT4 experiments involve the expanded patient set. C-CO08 and C-CO09 notes explicitly acknowledge this overlap. The protocol's conservative pooling of unresolved independence prevents a claim of demonstrated current double-counting, but does not make the known relationship machine-readable.","Add a structured shared-participant or parent-cohort link for the known P1/P3 overlap while keeping dataset, assay, expanded-cell context and unresolved additional reuse distinct. Preserve the two-donor basis for the ten clones and never count clones as independent people.",resolved_by_agent_correction
CUR02-001,curation-review-CUR02-20260913-01,medium,assertion,C-A18,"The neutralization assertions cite Results and Figure 4 content as though it is archived in the selected Chrome snapshot, but that file does not contain the cited outcome passages. The positive conclusions are supported elsewhere in the retained source set, so this is an exact-provenance gap rather than an established unsupported biological direction.","C-A18 names the IL12 neutralization Results and Figure4A lower/caption in chrome_NK_DC_passages.json; C-A19 similarly names the proliferation Results and Figure4D there. At the reviewed hash, that Chrome file contains an intracellular-IFNG method passage, a surface-IL15 nondetection result, a Figure5 caption fragment and structured methods, but no IL12-blockade or IL15-blockade outcome passage and no Figure4 caption. The supporting neutralization narrative, Figure4 caption and proliferation interpretation are instead in source_passages.json. C-S07 currently identifies only the Chrome file as its primary snapshot, and the assertion locators omit the additional supporting file.","Make the assertion locators and source snapshot bundle explicitly reference the retained supporting source_passages.json excerpts, and bind every supporting file in the exact curation approval dependencies. Preserve the difference between indexed primary-text excerpts and Chrome-transcribed passages; do not label one retrieval method as the other. No new experiment or broader claim is needed.",resolved_by_agent_correction
IMPL-R001,implementation-review-20260912-01,high,code,scripts/kb.py:407-425,"The structural validator does not enforce the molecular-layer contract for most measurement classes, so a protein measurement targeting a transcript can pass release validation and receive a protein evidence prior.","In an in-memory database with valid source, cohort, entity, context, evidence and all 30 alias records, two reviewed protein_abundance assertions targeting layer T produced validate(db)==[]. The current checks only constrain RNA_abundance (and even allow G) and secreted_protein; protein_abundance, protein_activity, receptor_signaling, splicing and direct_transcriptional_regulation are unchecked. No such wrong-layer assertion was established in the current pilot; the failing reproduction tests the guard promised by the protocol.","Define and enforce permitted subject/object type and layer combinations for each supported measurement, including explicit program/phenotype exceptions. Reject unsupported or unknown measurement-layer combinations before compiling priors and freezing. Add a narrow regression for protein_abundance on T and RNA_abundance on P.",resolved_by_agent_correction
IMPL-R002,implementation-review-20260912-01,high,code,"scripts/kb.py:113-147,359-384; protocol/PROTOCOL.md:43-45","The explicit tested hypothesis is neither required for numerical scoring nor used as the identity under which evidence is pooled. As a result, missing hypotheses can score and distinct hypotheses with identical raw endpoints/predicate/context can be combined.","A reviewed P3 record with evidence_relation='supports' and tested_hypothesis='unavailable' returned Beta(2.5,1). Two distinct tested_hypothesis strings attached to otherwise identical assertions from independent cohorts were each assigned Beta(4,1), independent_groups=2, rather than being kept separate. Conversely, a previous in-memory probe gave the same tested_hypothesis to a positive and a negative descriptive predicate, but compile_priors split them into Beta(2.5,1) and Beta(1,2.5). The current pilot explicitly marks all nulls inconclusive, which avoids the original immediate null-polarity problem.","Require a known, reviewed canonical hypothesis identifier before numerical weighting and include that identifier, compatible context and measurement in grouping. Keep raw descriptive predicates as evidence text without silently complementing them. Validate annotation completeness and ensure an unannotated or inconclusive assertion cannot inherit an available numerical prior merely because it shares raw endpoint fields with an annotated record.",resolved_by_agent_correction
IMPL-R003,implementation-review-20260912-01,medium,code,scripts/kb.py:165-189; tests/test_kb.py:test_explicit_compatible_bridge_can_pass,"The path acceptance helper treats an arbitrary pair of assertion IDs as a reviewed temporal bridge and does not reject null edges, reverse temporal ordering or incompatible treatment context.","An in-memory path whose first assertion had direction='null', whose contexts had time_point='24 h' then '1 h', and whose treatment_status values were untreated versus immunosuppressed returned (True,[]) once {('A','B')} was supplied. The same fixture also differed in ancestry, which requires an explicit transportability assessment rather than implicit equivalence. Only nine context fields are checked. compile_paths currently supplies no bridges, so actual pilot paths remain blocked.","Use a structured, source-backed bridge record with review status and explicit temporal/context compatibility instead of a bare ID-pair set. Require edge evidence to support a usable transition, and verify temporal ordering and relevant treatment/developmental/population context before acceptance. Alternatively keep the helper unconditionally fail-closed until bridge validation is implemented and label it accordingly. Add null, reversed-time and incompatible-treatment tests.",resolved_by_agent_correction
IMPL-R004,implementation-review-20260912-01,high,code,"scripts/kb.py:237-255,305,407-435","High unresolved biological findings only withhold evidence when the finding directly targets an assertion. Source-, cohort- or context-level findings do not propagate to dependent assertions, contrary to the protocol's affected-evidence exclusion rule.","A mocked review containing an open high-severity source finding for S1 produced an empty contested set from load_reviews, although the in-memory database had two reviewed assertions supported by S1. The branch explicitly requires target_type=='assertion'; validate does not independently check open high findings against source/cohort/context dependencies. No unresolved high source-level finding was identified in the current biological review files; this is a reproducible missing quarantine path.","Resolve biological source/cohort/context findings to all dependent evidence/assertions after ingestion, then mark them contested and exclude their numerical priors and paths. Distinguish biological dependency findings from implementation findings; do not blanket-contest unrelated evidence for a code review. Add a source-level and a cohort-level quarantine regression.",resolved_by_agent_correction
IMPL-R005,implementation-review-20260912-01,medium,code,scripts/kb.py:335-337; assay_coverage.direct_assertion_count,The assay coverage field called direct_assertion_count counts any matching entity name across molecular layers and review states. This overstates direct protein-assay evidence and cannot distinguish reviewed protein measurements from related RNA or unresolved evidence.,"The query compares only s.name or o.name to the assay protein name. In the current packs, G-A004 targets TNF layer T with RNA_abundance, while C-A12 targets TNF protein but is needs_full_text; both satisfy the TNF name match. C-A11 and C-A25 also include IL10 transcript outcomes. Counting a ligand merely used as a stimulus may be useful related evidence, but it does not establish that the corresponding assay analyte was directly measured.","Rename the present count to related_assertion_count, or calculate direct measured coverage by normalized entity ID, measurement role/layer and eligible review status. Expose separate counts for direct protein outcome evidence, ligand/intervention evidence, transcript evidence and unresolved evidence. Preserve assay-channel and ambiguous-identity caveats.",resolved_by_agent_correction
IMPL02-001,implementation-review-IMPL02-20260913-01,high,code,scripts/kb.py,Exact expansion-pack approval does not bind the scoring annotations actually compiled. A reviewed inconclusive annotation can be replaced with support in the separate working scoring file while the approved pack and primary-source hashes still match.,"At reviewed lines 337 and 353, build checks the pack/source approval, then overwrites the assertion with data/scoring_annotations.json without comparing that row with the scoring_annotation inside the approved pack. An isolated synthetic build used an approved pack whose annotation was inconclusive and an external annotation of supports; build returned True, the compiled evidence relation was supports, and an existence prior of 0.7142857142857143 was available. The probe ran the actual validator and compiler, substituting only reference-entity ingestion with 30 synthetic aliases. No production record was evaluated or altered.","Derive expansion scoring directly from the exact approved pack, or require the external row to equal the reviewed annotation and reject mismatches. Restrict imported annotation keys so a scoring row cannot overwrite extraction/context/QC fields. Add an integration regression that changes only external scoring after approval and confirms rejection or withholding.",resolved_by_agent_correction
IMPL02-002,implementation-review-IMPL02-20260913-01,high,code,scripts/kb.py,"Carried-forward lanes are unconditionally considered independently reviewed, even when their current extraction or source bytes have changed since the frozen review.","Reviewed line 337 short-circuits the exact-file checker for cytokine, genomic and proteomic. In an isolated synthetic legacy-lane build, the assertion object was replaced and no review approval existed; build returned True, status was reviewed and an existence prior of 0.7142857142857143 remained available under the stale scoring hypothesis. The current three production legacy pack files were compared by hash only and are equal to their archived counterparts, so the probe establishes a missing acceptance guard rather than an identified changed production claim. scripts/annotate_scoring.py also regenerates support for its legacy ID list without checking the underlying pack/source bytes.","Grandfather only the exact archived legacy pack and source hashes, accounting explicitly for an approved security-redaction ledger. Changed legacy bytes must require the same independent approval as new packs. Bind approved curation overlays and their source dependencies to the effective record and regenerate annotations only from that approved effective extraction. Add a regression changing a legacy pack and a legacy source independently.",resolved_by_agent_correction
IMPL02-003,implementation-review-IMPL02-20260913-01,medium,code,scripts/kb.py,Mandatory expansion screening can be omitted entirely while build validation still passes. The screening validator checks only rows that happen to be present.,"At reviewed lines 390-394, a missing screening.json becomes an empty list; lines 528-534 do not assert lane-level screening presence or correspondence with included sources. The exact-approved synthetic expansion pack used for IMPL02-001 contained one extracted source/assertion but no screening.json and no search records. build returned True and screening_candidates contained zero rows. This violates the amendment/contract requirement for new lane candidate decisions and exact queries without requiring any biological-content interpretation.","Require a valid screening artifact for every expansion lane with extracted sources, at least one registered query and a linked include decision for each included source. If an expansion lane has no sources, require an explicit documented empty result. Validate this before constructing or freezing the release and add a missing-screening integration regression.",resolved_by_agent_correction
IMPL02-004,implementation-review-IMPL02-20260913-01,medium,code,scripts/sanitize_snapshots.py,The targeted AWS signed-link scanner misses credential fields when the first question mark is percent encoded or a JSON string represents the ampersand as a Unicode escape. These representations can pass the compiler credential check unchanged.,"Synthetic-only probes showed sanitize returned unchanged text for https%3A%2F%2Fexample.invalid%2Fa%3FX-Amz-Signature%3DSYNTHETIC_SIGNATURE and for JSON containing https://example.invalid/a?x=1 followed by the literal escape \u0026X-Amz-Security-Token=SYNTHETIC_TOKEN. In both cases the synthetic credential value remained; an ordinary ?X-Amz-Signature= control was correctly removed. SIGNED_FIELD recognizes literal ?/& and %26, but not %3F or JSON-escaped separators, and findings does not inspect decoded JSON string values. No real credential values were retrieved or displayed by these probes.",Sanitize JSON string values with format-aware handling and cover percent-encoded question marks/separators without unnecessarily decoding or rewriting unrelated source text. Ensure the scanner uses the same handling and remains idempotent. Add tests for the two reproduced encodings and preserve noncredential evidence text and URL metadata.,resolved_by_agent_correction
REC02-001,receptor-review-REC02-20260913-01,low,assertion,XRE-A14,"The radioligand-binding assertion inherits the sample-basis text from the separate chemotaxis assay. Its uncertainty field lists Table 1 triplicate experiments and five microscopic oil fields, although XRE-A14 is a whole-cell gamma-counting assay. This attaches an unrelated endpoint denominator to the binding evidence.","In research/receptor_expansion/pack.json, XRE-A14 uses the same Table 1 uncertainty text as the migration assertions. In root_search3.json, Table 1 is explicitly Chemotactic Activity of VEGF165 on Human Monocytes and PMN and describes migrated cells counted in five oil fields. The separate VEGF receptor binding assay section measures radiolabel in lysates using a gamma counter; the selected binding passages and primary abstract do not supply that microscopy denominator or an explicit binding repeat count. XRE-CO04 also carries the migration-specific sample text across the shared cohort.",Make XRE-A14 uncertainty specific to the binding arm: repeat count and unique donor count unavailable unless directly recovered from a binding-specific source passage. Keep the Table 1 triplicates and fields scoped to migration in the shared cohort. Retain the supported binding observation and avoid inventing a binding sample size.,resolved_by_agent_correction
XCH-REV001,XCH-REVIEW-20260913-01,medium,assertion,XCH_A021,"The assertion cites Methods sec6 and Figure5 as archived in Agostini2001_chrome.txt, but that selected file contains neither sec6 nor the Figure5 caption. The flow-localization outcome is available elsewhere in the retained source set, so this is an exact-provenance gap rather than evidence that the biological conclusion is false.","Agostini2001_chrome.txt has sec5 immunohistochemistry,sec14 brief expression text and Figure4, but skips sec6 and Figure5. followup_search7.json contains the primary Figure5 caption explicitly identifying cytoplasmic cytokine flow profiles of alveolar macrophages from rejection/BOS patients. XCH_S009 currently lists only Agostini2001_chrome.txt as its snapshot and no supporting_snapshot_paths. The immunohistochemical macrophage-CXCL10 localization is already directly supported by Figure4 in the Chrome snapshot.",Reference followup_search7.json explicitly for the Figure5 flow endpoint and bind it as a supporting source snapshot; archive the exact sec6 passage if retaining that locator. Alternatively narrow the assay/locator to the already archived Figure4 immunohistochemistry. Preserve observational P1 and do not upgrade to secretion.,resolved_by_agent_correction
XCH-REV002,XCH-REVIEW-20260913-01,low,assertion,XCH_A010,The structured stimulation field is unavailable although the relevant purified-ligand exposure is known and explicit in the primary method/result.,"Viney2014_chrome.txt S3 identifies recombinant human CCL17 and CCL22; S14 and Figure1A describe Hut78 migration to soluble concentration series of each. The corresponding subject,dose and cohort intervention already identify the ligands, so no biological direction correction is required.",Set stimulation to recombinant human CCL17 for XCH_A010 and recombinant human CCL22 for XCH_A011; retain the untranscribed exact concentration-range limitation and human lymphoma-line context.,resolved_by_agent_correction
